sheet	row	raw_term	class_code	method	evidence
biooligo	163	Galactosyl lactose	3C	1A_cross_sheet	{'3C': 1}
cummings	12	A antigen (type 3)	1A	1A_cross_sheet	{'1A': 2}
cummings	18	Fucosylated LDN (LDNF)	1B	1A_cross_sheet	{'1B': 1}
glycomotif_ccrc	117	HNK-expressing SGLPG	1A	1A_cross_sheet	{'1A': 1}
glycomotif_gdv	49	Ceramide dihexosyl sulfate	1B	1A_cross_sheet	{'1B': 3}
glycomotif_gdv	80	HNK-expressing SGLPG	1A	1A_cross_sheet	{'1A': 1}
glycomotif_ggm	53	O-Linked mannose	2B	1A_cross_sheet	{'3A': 1, '2B': 2}
glycomotif_ggm	54	2,6-Branched O-mannose	2C	1A_cross_sheet	{'2C': 2}
glycomotif_ggm	61	Sulfatide	1A	1A_cross_sheet	{'1A': 6}
glycomotif_ggm	63	Ceramide dihexosyl sulfate	1B	1A_cross_sheet	{'1B': 3}
glycomotif_ggm	65	Lactotriaosylceramide	1A	1A_cross_sheet	{'1A': 2}
glycomotif_ggm	70	Mono-sulfated globopentaosylceramide	1A	1A_cross_sheet	{'1A': 3}
glycomotif_ggm	71	Mono-sulfated globotetraosylceramide	1A	1A_cross_sheet	{'1A': 5}
glycomotif_ggm	95	Sialopentaosylceramide	1A	1A_cross_sheet	{'1B': 1, '1A': 3}
gsdv1	17	biantennary N-glycan	1B	1A_cross_sheet	{'1B': 1}
gsdv1	46	diphosphorylated Man6	2C	1A_cross_sheet	{'2C': 1, '2D': 1}
gsdv1	89	high-mannose N-glycan	1B	1A_cross_sheet	{'1B': 1}
gsdv1	119	O-fucose glycan	2B	1A_cross_sheet	{'2B': 1}
gsdv1	120	O-linked N-acetylglucosamine	2B	1A_cross_sheet	{'2B': 1}
gsdv1	122	O-mannose glycan	2B	1A_cross_sheet	{'2B': 1}
gsdv1	143	sulfatide	1A	1A_cross_sheet	{'1A': 6}
gsdv1	169	2,6-branched O-mannose	2C	1A_cross_sheet	{'2C': 2}
n-compo	89	Man5	2D	1A_cross_sheet	{'2D': 2}
n-compo	90	Man6	2D	1A_cross_sheet	{'2D': 2}
n-compo	91	Man7	2D	1A_cross_sheet	{'2D': 3}
n-compo	92	Man8	2D	1A_cross_sheet	{'2D': 1}
n-compo	93	Man9	2D	1A_cross_sheet	{'2D': 1}
