src_dir	file	kept	dropped
src_biooligo	raw/biooligo_glycans.tsv	238	53
src_cummings	raw/determinants_cummings.tsv	128	2
src_eog	terms.jsonl	326	1
src_glycoepitope	raw/glycoepitope.tsv	173	0
src_glycomotif_ccrc	raw/glycomotif_ccrc_v2.tsv	116	0
src_glycomotif_gdv	raw/glycomotif_gdv_v2.tsv	125	1
src_glycomotif_ggm	raw/glycomotif_ggm_v2.tsv	176	9
src_glygen_curators	terms.jsonl	1	0
src_gsdv1	terms.original.jsonl	172	1
src_n-compo	archive/terms.tsv	92	0
src_pubdict-glycan-motif	raw/pubdictionaries-glycan-motif.tsv	592	97
src_pubdict-glyconavi-abbrev	raw/glyconavi-glycan-abbreviation.tsv	104	0
src_pubdict-glyconavi-name	raw/glyconavi-glycan-name.tsv	468	0
src_pubdict-glycosmos	raw/glycan-GlyCosmos.tsv	219	0
src_pubdict-motifglytoucan	raw/motifGlyTouCanID.tsv	72	2
src_pubdictionaries-glycan-image	archive/raw_pubdict.tsv	238	0
src_sugarbind	raw/sugarbind_ligands.tsv	155	49
