name	sequence	category	detail_url	bgsl_curator_meta
Blood group A antigen tetraose type 1	GalNAc a1-3 (Fuc a1-2) Gal b1-3 GlcNAc b	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2116	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A antigen hexaose type 1	GalNAc a1-3 (Fuc a1-2) Gal b1-3 GlcNAc b1-3 Gal b1-4 Glc	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2117	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A antigen hexaose type 2	GalNAc a1-3 (Fuc a1-2) Gal b1-4 GlcNAc b1-3 Gal b1-4 Glc	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2118	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A antigen pentaose type 1	GalNAc a1-3 (Fuc a1-2) Gal b1-3 GlcNAc b1-3 Gal	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2119	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A antigen pentaose type 2	GalNAc a1-3 (Fuc a1-2) Gal b1-4 GlcNAc b1-3 Gal	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2120	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A antigen pentaose type 4	GalNAc a1-3 (Fuc a1-2) Gal b1-3 GalNAc b1-3 Gal	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2121	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A antigen tetraose type 2	GalNAc a1-3 (Fuc a1-2) Gal b1-4 GlcNAc b	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2122	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A antigen tetraose type 5	GalNAc a1-3 (Fuc a1-2) Gal b1-4 Glc	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2123	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A antigen triose	GalNAc a1-3 (Fuc a1-2) Gal b	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2124	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A Lewis B antigen pentaose type1	GalNAc a1-3 (Fuc a1-2) Gal b1-3 (Fuc a1-4) GlcNAc	Blood group A antigens	https://glyco3d.cermav.cnrs.fr/mol.php?type=bioligo&molecule=2125	"{""keep"": true, ""suggested_class"": ""1A""}"
