Glycan determinant in N- and O-glycans and glycolipids	Trivial name (and reference)a	bgsl_curator_meta
Galβ1-4GlcNAcβ1-R	Type 2 LN (N-acetyllactosamine)	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""Type 2 LN""}"
Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-R	Type 2 LN2 (“i” antigen)	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""Type 2 LN2"", ""notes"": ""Has broad synonym \""i\"" antigen.""}"
Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)Galβ1-4GlcNAcβ1-R	“I” antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-R	“i” antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-3GlcNAcβ1-R	Type 1 LN	"{""keep"": true, ""suggested_class"": ""1B""}"
Galβ1-3GlcNAcβ1-3Galβ1-3GlcNAcβ1-R	Type 1 LN2	"{""keep"": true, ""suggested_class"": ""1B""}"
Galβ1-3GlcNAcβ1-3Galβ1-3GlcNAcβ1-3Galβ1-3GlcNAcβ1-R	Type 1 LN3	"{""keep"": true, ""suggested_class"": ""1B""}"
GalNAcα1-Ser/Thr	Tn antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-3GalNAcα1-Ser/Thr	T (also TF) antigen	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""T antigen"", ""notes"": ""Has exact synonym TF antigen.""}"
Fucα1-2Galβ1-3GalNAcα1-Ser/Thr	H antigen (type 3)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""H antigen type 3""}"
GalNAcα1-3(Fucα1-2)Galβ1-3GalNAcα1-Ser/Thr	A antigen (type 3)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""A antigen type 3""}"
NeuAcα2-6GalNAcα1-R	Sialyl Tn antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3GalNAcα1-Ser/Thr	Sialyl T antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcα1-Ser/Thr	Di-sialyl T antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
Galα1-3Galβ1-R	α-Gal antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-4GlcNAc-R	LacdiNAc (LDN)	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""LacdiNAc""}"
GalNAcβ1-4(Fucα1-3)GlcNAc-R	Fucosylated LDN (LDNF)	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""Fucosylated LDN""}"
Galβ1-4(Fucα1-3)GlcNAc-R	Lewis x (Lex) (SSEA-1)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lewis x"", ""notes"": ""Has abbreviation Lex. Has related synonym SSEA-1""}"
Fucα1-2Galβ1-4(Fucα1-3)GlcNAc-R	Lewis y (Ley)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lewis y""}"
Galβ1-3(Fucα1-4)GlcNAc-R	Lewis a (Lea)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lewis a""}"
Fucα1-2Galβ1-3(Fucα1-4)GlcNAc-R	Lewis b (Leb)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lewis b""}"
NeuAcα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-R	Sialyl Lewis x (SLex)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Sialyl Lewis x""}"
CyclicNeuAcα2-3Galβ1-4(Fucα1-3)(Su-6)GlcNAcβ1-Rb	Cyclic sialyl 6-sulfo Lewis x	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3(Fucα1-4)GlcNAcβ1-R	Sialyl Lewis a (SLea) (CA19-9 antigen)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Sialyl Lewis a"", ""notes"": ""Has abbreviation Lea. Has related synonym CA19-9 antigen.""}"
NeuAcα2-3(Su-6)Galβ1-4(Fucα1-3)GlcNAcβ1-R	6'-Sulfo-sialyl Lewis x (6'-sulfo SLex)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""6'-Sulfo-sialyl Lewis x""}"
NeuAcα2-6Galβ1-4(Su-6)GlcNAcβ1-R	2,6-sialyl-Sulfo-LN (6-sialyl-6-sulfo LN)	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""2,6-sialyl-Sulfo-LN""}"
NeuAcα2-3Galβ1-4(Fucα1-3)(Su-6)GlcNAcβ1-R	6-Sulfo-sialyl Lewis x (6-sulfo SLex)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""6-Sulfo-sialyl Lewis x""}"
NeuAcα2-3(Su-6)Galβ1-4(Fucα1-3)(Su-6)GlcNAcβ1-R	6,6'-bisSulfo-Lewis x (6,6'-bissulfo Lex) )	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""6,6'-bisSulfo-Lewis x""}"
Su-3Galβ1-4(Fucα1-3)GlcNAcβ1-R	3'-Sulfo-Lewis x (3'-sulfo Lex)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""3'-Sulfo-Lewis x""}"
Su-3Galβ1-3(Fucα1-4)GlcNAcβ1-R	3'-Sulfo-Lewis a (3'-Sulfo Lea)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""3'-Sulfo-Lewis a""}"
Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-R	Lex–Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-R	SDLex	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-4GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-R	VIM-2	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-4GlcNAc-R	3-Sialyl-LN (type 2)	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""3-Sialyl-LN type 2""}"
Fucα1-2Galβ1-4GlcNAcβ1-3Galβ1-R	Blood group H (type 2)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group H - type 2 chain""}"
Galα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-3Galβ1-R	Blood group B (type 2)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group B - type 2 chain""}"
GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-R	Blood group A (type 2)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A - type 2 chain""}"
GalNAcα1-3(Fucα1-2)Galβ1-4(Fucα1-3)GlcNAcβ1-R	Blood group A (type 2) (A-Ley)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A - Lewis y associated type 2 chain""}"
GalNAcα1-3(Fucα1-2)Galβ1-3GalNAcα1-3(Fucα1-2)Galβ1-4GlcNAcβ1-R	Blood group A1 (type 3)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A1 - type 3 chain""}"
