Epitope ID	Epitope Name	Epitope Sequence	bgsl_curator_meta
EP0001	HNK-1	HSO3(-3)GlcA(b1-3)Gal(b1-4)GlcNAc-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0002	O-Mannosyl Glycan / Mammalian	Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""3C""}"
EP0003	O-Mannosyl Glycan / Yeast	Man(a1-2)Man(a1-2)Man(a1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""3C""}"
EP0004	O-GlcNAc	GlcNAc(b1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""2B""}"
EP0005	O-Fucose Glycan /EGF Repeat	Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-3)Fuc(a1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""3C""}"
EP0006	O-Fucose Glycan /Thrombospondin Type 1 Repeat	Glc(b1-3)Fuc(a1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""3C""}"
EP0007	Lewis a	Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0008	Sialyl Lewis a	Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0009	3'-Sulfo Lewis a	HSO3(-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0010	Lewis b	Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0011	Lewis x	Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0012	Sialyl Lewis x	Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0013	3'-Sulfo Lewis x	HSO3(-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0014	6'-Sulfo Sialyl Lewis x	Neu5Ac(a2-3)[HSO3(-6)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0015	Sialyl 6-Sulfo Lewis x	Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)][HSO3(-6)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Not to be confused with Sialyl 6-Sulfo Lewis x.""}"
EP0016	6,6'- Disulfo Sialyl Lewis x	Neu5Ac(a2-3)[HSO3(-6)]Gal(b1-4)[Fuc(a1-3)][HSO3(-6)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Not to be confused with Sialyl 6-Sulfo Lewis x.""}"
EP0017	Cyclic Sialyl 6-Sulfo Lewis x	cyclicNeu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)][HSO3(-6)]GlcNAc-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0018	Lewis y	Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0019	VIM-2	Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0020	T Antigen	Gal(b1-3)GalNAc(a1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0021	Tn Antigen	GalNAc(a1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0022	Sialyl Tn Antigen	Neu5Ac(a2-6)GalNAc(a1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0023	Disialyl T Antigen	Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0024	F1 Alpha	Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-)Ser/Thr	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0032	C-Series Gangliosides  Oligosaccharide / Hemato- or Ganglio-Type	Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal-R	"{""keep"": true, ""suggested_class"": ""1B"", ""notes"": ""Description: C-series ganglioside trisialyl-Gal epitope.""}"
EP0033	C-Series Gangliosides Oligosaccharide / Gangliotetraosyl Core Structure	R-Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1B""}"
EP0035	Lactogangliotetraosylceramide	GalNAc(b1-4)[GlcNAc(b1-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0036	Galactosylgloboside	Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0037	Forssman Antigen	GalNAc(a1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0038	M3FX	Man(a1-6)[Man(a1-3)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc-R	"{""keep"": true, ""suggested_class"": ""2D""}"
EP0039	SSEA-3	Gal(b1-3)GalNAc(b1-3)Gal(a1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0040	Disialyl Lewis a	Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)][Fuc(a1-4)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0041	Sialyl Lewis c	Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0042	SSEA-1	Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0043	Sialyl Lewis x-i	Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0044	SSEA-4	Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0045	Pk Antigen	Gal(a1-4)Gal(b1-4)Glc-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0046	P1 Antigen	Gal(a1-4)Gal(b1-4)GlcNAc-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0047	Asialo GM1	Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0048	GM1b	Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0049	Fucosyl GM1	Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0050	GM1	Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0051	N-Acetyl GM2	GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0052	N-Glycolyl GM2	GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0053	N-Acetyl GM3	Neu5Ac(a2-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0054	N-Glycolyl GM3	Neu5Gc(a2-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0055	GM4	Neu5Ac(a2-3)Gal(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0056	GD1a	Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0057	Fucosyl Asialo-GM1	Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0058	GalNAc-GD1a	GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0059	GD1b	Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0061	GD2	GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0062	N-Acetyl GD3	Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0063	N-Glycolyl GD3	Neu5Gc(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0064	9-O-Acetyl GD3	Neu5Ac9Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0065	9-O-Acetyl Sialic Acid	Neu5Ac9Ac(a2-)-R	"{""keep"": true, ""suggested_class"": ""3B""}"
EP0066	GT1a	Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0067	GT1b	Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0068	Bata Galactose	Gal(b1-)-R-Cer	"{""keep"": true, ""suggested_class"": ""2A"", ""preferred_label_override"": ""Beta Galactose"", ""notes"": ""Bata galactose is a typo.""}"
EP0069	GQ1b	Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0070	GT3	Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0071	Gb3	Gal(a1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0072	Gal-CTH	Gal(a1-3)Gal(a1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1B""}"
EP0073	Globoside	GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0074	Galactosylceramide	Gal(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0075	Paragloboside	Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0076	2-3 Sialylparagloboside	Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0077	2-6 Sialylparagloboside	Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0078	Lactosylceramide	Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0079	SM3	HSO3(-3)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0080	SD1a	HSO3(-3)Gal(b1-3)GalNAc(b1-4)[HSO3(-3)]Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0081	Chondroitin	-[GlcA(b1-3)GalNAc(b1-4)]n-	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0082	Chondroitin-4-Sulfate	-{GlcA(b1-3)[HSO3(-4)]GalNAc(b1-4)}n-	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0083	Chondroitin-6-Sulfate	-{GlcA(b1-3)[HSO3(-6)]GalNAc(b1-4)}n-	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0084	Chindroitin Sulfate D Unit	-{[HSO3(-2)]GlcA(b1-3)[HSO3(-6)]GalNAc(b1-4)}n-	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0085	Keratan Sulfate	-{HSO3(-6)GlcNAc(b1-3)&plusmn;[HSO3(-6)]Gal(b1-4)}n-	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0086	Heparan Sulfate	-[{[&plusmn;(HSO3(-2))GlcA(b1-4)]or[&plusmn;(HSO3(-2))IdoA(a1-4)]}(&plusmn;(HSO3(-3))&plusmn;[(HSO3 or CH3CO)(-2)]&plusmn;(HSO3(-6))GlcN]n-	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0087	Delta-Heparan Sulfate	unsaturated uronic acid	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0088	Acharan Sulfate	-{[HSO3(-2)]IdoA(a1-4)GlcNAc(a1-4)}n-	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0090	Dimeric Lewis a	Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0091	Lewis a- Lewis x Hybrid Antigen	Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0092	Trifucosyl-Lewis b Antigen	Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0093	Dimeric Lewis x	Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0094	Trifucosyl-Lewis y Antigen	Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0095	Disialyl I	Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0096	Disialyl Lewis c	Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-)-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0097	GalNAc Disialyl Lc4 (Hexasaccharide)	GalNAc(b1-4)[NeuAc(a2-3)]Gal(b1-3)[NeuAc(a2-6)]GlcNAc(b1-3)Gal-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0098	Disialyl Gb5	Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0099	Monosialyl Gb5	Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-1)Cer	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0101	Poly-N-Acetylneuraminic Acid	(Neu5Ac) n	"{""keep"": true, ""suggested_class"": ""1B""}"
EP0102	Poly-N-Glycolylneuraminic Acid	(Neu5Gc)n	"{""keep"": true, ""suggested_class"": ""1B""}"
EP0103	Poly-KDN	(KDN)n	"{""keep"": true, ""suggested_class"": ""1B""}"
EP0104	KDN-Gal	KDN(a2-3)Gal(b1-)-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0110	GD1 alpha(Pentasaccharide)	Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(b1-4)Gal-R	"{""keep"": true, ""suggested_class"": ""1A""}"
