id	label	glytoucan_id	aliases	url
CCRC.000001	LN, N-acetyllactosamine	G00055MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000001
CCRC.000002	LN2, I antigen	G45207BM		https://glycomotif.glyomics.org/glycomotif/CCRC.000002
CCRC.000004	I antigen	G26929DQ		https://glycomotif.glyomics.org/glycomotif/CCRC.000004
CCRC.000005	LN	G04616ST		https://glycomotif.glyomics.org/glycomotif/CCRC.000005
CCRC.000006	LN2	G11259JT		https://glycomotif.glyomics.org/glycomotif/CCRC.000006
CCRC.000007	LN3	G85779MY		https://glycomotif.glyomics.org/glycomotif/CCRC.000007
CCRC.000009	T or TF antigen	G78436BB		https://glycomotif.glyomics.org/glycomotif/CCRC.000009
CCRC.000010	H antigen	G46868TY		https://glycomotif.glyomics.org/glycomotif/CCRC.000010
CCRC.000011	A antigen	G71832QJ		https://glycomotif.glyomics.org/glycomotif/CCRC.000011
CCRC.000012	Sialyl Tn antigen	G08371CD		https://glycomotif.glyomics.org/glycomotif/CCRC.000012
CCRC.000013	Sialyl T antigen	G56299XO		https://glycomotif.glyomics.org/glycomotif/CCRC.000013
CCRC.000014	Di-sialyl T antigen	G65191ST		https://glycomotif.glyomics.org/glycomotif/CCRC.000014
CCRC.000015	a-Gal antigen	G00046MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000015
CCRC.000016	LDN,  LacdiNAc	G00057MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000016
CCRC.000017	Fucosylated LDN	G02240AO		https://glycomotif.glyomics.org/glycomotif/CCRC.000017
CCRC.000018	Lewis x	G00051MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000018
CCRC.000019	Lewis y	G00052MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000019
CCRC.000020	Lewis a	G00047MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000020
CCRC.000021	Lewis b	G00048MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000021
CCRC.000022	Sialyl Lewis x	G00054MO		https://glycomotif.glyomics.org/glycomotif/CCRC.000022
CCRC.000023	Cyclic sialyl 6-sulfo Lewis x	G23322RK		https://glycomotif.glyomics.org/glycomotif/CCRC.000023
CCRC.000024	Sialyl Lewis a	G81971FM		https://glycomotif.glyomics.org/glycomotif/CCRC.000024
