id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
CCRC.000001	LN, N-acetyllactosamine	G00055MO			https://glycomotif.glyomics.org/glycomotif/CCRC.000001	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""LN"", ""notes"": ""Is abbreviation of LacNAc.""}"
CCRC.000002	LN2, I antigen	G45207BM			https://glycomotif.glyomics.org/glycomotif/CCRC.000002	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""LN2"", ""notes"": ""Has broad synonym i antigen.""}"
CCRC.000004	I antigen	G26929DQ			https://glycomotif.glyomics.org/glycomotif/CCRC.000004	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000005	LN	G04616ST			https://glycomotif.glyomics.org/glycomotif/CCRC.000005	"{""keep"": true, ""suggested_class"": ""1B""}"
CCRC.000006	LN2	G11259JT			https://glycomotif.glyomics.org/glycomotif/CCRC.000006	"{""keep"": true, ""suggested_class"": ""1B""}"
CCRC.000007	LN3	G85779MY			https://glycomotif.glyomics.org/glycomotif/CCRC.000007	"{""keep"": true, ""suggested_class"": ""1B""}"
CCRC.000009	T or TF antigen	G78436BB			https://glycomotif.glyomics.org/glycomotif/CCRC.000009	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""T antigen"", ""notes"": ""Has exact synonym TF antigen""}"
CCRC.000010	H antigen	G46868TY			https://glycomotif.glyomics.org/glycomotif/CCRC.000010	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000011	A antigen	G71832QJ			https://glycomotif.glyomics.org/glycomotif/CCRC.000011	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000012	Sialyl Tn antigen	G08371CD			https://glycomotif.glyomics.org/glycomotif/CCRC.000012	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000013	Sialyl T antigen	G56299XO			https://glycomotif.glyomics.org/glycomotif/CCRC.000013	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000014	Di-sialyl T antigen	G65191ST			https://glycomotif.glyomics.org/glycomotif/CCRC.000014	"{""keep"": true, ""suggested_class"": ""1A""}"
