id	label	glytoucan_id	aliases	url
GDV.000001	Cyclic sialyl 6-sulfo Lewis x	G80722US		https://glycomotif.glyomics.org/glycomotif/GDV.000001
GDV.000002	Extended tetrafucosyl-Le	G57142PA		https://glycomotif.glyomics.org/glycomotif/GDV.000002
GDV.000004	Lewis b (Leb)	G39211DH		https://glycomotif.glyomics.org/glycomotif/GDV.000004
GDV.000005	Blood group A2 (A-associated H type 3)	G62735WZ		https://glycomotif.glyomics.org/glycomotif/GDV.000005
GDV.000006	H antigen (type 3)	G94435QH		https://glycomotif.glyomics.org/glycomotif/GDV.000006
GDV.000007	Blood group H (type 4)	G98465JN		https://glycomotif.glyomics.org/glycomotif/GDV.000007
GDV.000008	GL-6 fucosylated (globoH)	G98465JN		https://glycomotif.glyomics.org/glycomotif/GDV.000008
GDV.000009	2-Fucosyl-GM1	G91532KA		https://glycomotif.glyomics.org/glycomotif/GDV.000009
GDV.000010	2-Fucosyl-GD1b	G93694YU		https://glycomotif.glyomics.org/glycomotif/GDV.000010
GDV.000011	Blood group H (type 1)	G00294TN		https://glycomotif.glyomics.org/glycomotif/GDV.000011
GDV.000012	Blood group H (type 2)  (Lewis Y)	G00052MO		https://glycomotif.glyomics.org/glycomotif/GDV.000012
GDV.000013	Lewis b (Lewis b)	G00052MO		https://glycomotif.glyomics.org/glycomotif/GDV.000013
GDV.000014	Lewis y (Lewis Y)	G49963IQ		https://glycomotif.glyomics.org/glycomotif/GDV.000014
GDV.000015	Blood group H (type 2)	G70519XK		https://glycomotif.glyomics.org/glycomotif/GDV.000015
GDV.000016	Blood group B (type 1)  (B-Lewis Y)	G89208KM		https://glycomotif.glyomics.org/glycomotif/GDV.000016
GDV.000017	Blood group B (type 4)	G25216QA		https://glycomotif.glyomics.org/glycomotif/GDV.000017
GDV.000018	B-GM1	G11485ID		https://glycomotif.glyomics.org/glycomotif/GDV.000018
GDV.000019	B-GD1b	G72557NR		https://glycomotif.glyomics.org/glycomotif/GDV.000019
GDV.000020	Blood group B (type 1)	G31734OS		https://glycomotif.glyomics.org/glycomotif/GDV.000020
GDV.000021	Blood group B (type 2)	G34881WK		https://glycomotif.glyomics.org/glycomotif/GDV.000021
GDV.000022	alpha-Gal antigen	G24432YB		https://glycomotif.glyomics.org/glycomotif/GDV.000022
GDV.000023	Pk antigen (Gb3, globotriaosylceramide)	G00059MO		https://glycomotif.glyomics.org/glycomotif/GDV.000023
GDV.000024	P1 antigen	G12460DL		https://glycomotif.glyomics.org/glycomotif/GDV.000024
GDV.000025	Dimeric Lewis a	G82106UN		https://glycomotif.glyomics.org/glycomotif/GDV.000025
GDV.000026	Lewis a	G00047MO		https://glycomotif.glyomics.org/glycomotif/GDV.000026
GDV.000027	T (also TF)  antigen	G00031MO		https://glycomotif.glyomics.org/glycomotif/GDV.000027
GDV.000028	SSEA	G99053DY		https://glycomotif.glyomics.org/glycomotif/GDV.000028
GDV.000029	Gb5	G99053DY		https://glycomotif.glyomics.org/glycomotif/GDV.000029
GDV.000030	GM1	G48558GR		https://glycomotif.glyomics.org/glycomotif/GDV.000030
GDV.000031	GD1b	G37184KW		https://glycomotif.glyomics.org/glycomotif/GDV.000031
