id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
GDV.000001	Cyclic sialyl 6-sulfo Lewis x	G80722US			https://glycomotif.glyomics.org/glycomotif/GDV.000001	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000002	Extended tetrafucosyl-Le	G57142PA			https://glycomotif.glyomics.org/glycomotif/GDV.000002	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000004	Lewis b (Leb)	G39211DH			https://glycomotif.glyomics.org/glycomotif/GDV.000004	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lewis b""}"
GDV.000005	Blood group A2 (A-associated H type 3)	G62735WZ			https://glycomotif.glyomics.org/glycomotif/GDV.000005	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group A2 - A-associated H type 3 chain""}"
GDV.000006	H antigen (type 3)	G94435QH			https://glycomotif.glyomics.org/glycomotif/GDV.000006	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000007	Blood group H (type 4)	G98465JN			https://glycomotif.glyomics.org/glycomotif/GDV.000007	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000008	GL-6 fucosylated (globoH)	G98465JN			https://glycomotif.glyomics.org/glycomotif/GDV.000008	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GL-6 fucosylated"", ""notes"": ""Has related synonym globoH.""}"
GDV.000009	2-Fucosyl-GM1	G91532KA			https://glycomotif.glyomics.org/glycomotif/GDV.000009	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000010	2-Fucosyl-GD1b	G93694YU			https://glycomotif.glyomics.org/glycomotif/GDV.000010	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000011	Blood group H (type 1)	G00294TN			https://glycomotif.glyomics.org/glycomotif/GDV.000011	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group H - type 1 chain""}"
GDV.000012	Blood group H (type 2)  (Lewis Y)	G00052MO			https://glycomotif.glyomics.org/glycomotif/GDV.000012	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group H - Lewis Y-associated type 2 chain""}"
GDV.000013	Lewis b (Lewis b)	G00052MO			https://glycomotif.glyomics.org/glycomotif/GDV.000013	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lewis b""}"
GDV.000014	Lewis y (Lewis Y)	G49963IQ			https://glycomotif.glyomics.org/glycomotif/GDV.000014	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lewis y""}"
GDV.000015	Blood group H (type 2)	G70519XK			https://glycomotif.glyomics.org/glycomotif/GDV.000015	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group H - type 2 chain""}"
GDV.000016	Blood group B (type 1)  (B-Lewis Y)	G89208KM			https://glycomotif.glyomics.org/glycomotif/GDV.000016	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group B - Lewis Y-associated type 1 chain""}"
GDV.000017	Blood group B (type 4)	G25216QA			https://glycomotif.glyomics.org/glycomotif/GDV.000017	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Blood group B - type 4 chain""}"
GDV.000018	B-GM1	G11485ID			https://glycomotif.glyomics.org/glycomotif/GDV.000018	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000019	B-GD1b	G72557NR			https://glycomotif.glyomics.org/glycomotif/GDV.000019	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000020	Blood group B (type 1)	G31734OS			https://glycomotif.glyomics.org/glycomotif/GDV.000020	"{""keep"": true, ""suggested_class"": ""1A""}"
