id	label	glytoucan_id	aliases	url
GGM.000001	Type 2 LN	G00055MO	N-acetyllactosamine type 2	https://glycomotif.glyomics.org/glycomotif/GGM.000001
GGM.000002	Type 2 LN2	G00058MO	N-acetyllactosamine type 2|i antigen	https://glycomotif.glyomics.org/glycomotif/GGM.000002
GGM.000003	I antigen	G56045WU		https://glycomotif.glyomics.org/glycomotif/GGM.000003
GGM.000004	i antigen	G46055MA		https://glycomotif.glyomics.org/glycomotif/GGM.000004
GGM.000005	Type 1 LN	G00056MO	N-acetyllactosamine type 1	https://glycomotif.glyomics.org/glycomotif/GGM.000005
GGM.000006	Type 1 LN2	G43784HS	N-acetyllactosamine type 1	https://glycomotif.glyomics.org/glycomotif/GGM.000006
GGM.000007	Type 1 LN3	G17961XM	N-acetyllactosamine type 1	https://glycomotif.glyomics.org/glycomotif/GGM.000007
GGM.000008	Tn antigen	G57321FI		https://glycomotif.glyomics.org/glycomotif/GGM.000008
GGM.000009	T antigen	G00031MO	TF antigen	https://glycomotif.glyomics.org/glycomotif/GGM.000009
GGM.000010	H antigen (type 3)	G94435QH	Blood group H|Blood group type 3	https://glycomotif.glyomics.org/glycomotif/GGM.000010
GGM.000011	A antigen (type 3)	G99315PE	Blood group A|Blood group type 3	https://glycomotif.glyomics.org/glycomotif/GGM.000011
GGM.000012	Sialyl Tn antigen	G36123IU		https://glycomotif.glyomics.org/glycomotif/GGM.000012
GGM.000013	Sialyl T antigen	G65562ZE		https://glycomotif.glyomics.org/glycomotif/GGM.000013
GGM.000014	Di-sialyl T antigen	G01614ZM		https://glycomotif.glyomics.org/glycomotif/GGM.000014
GGM.000015	a-Gal antigen	G24432YB	alpha-Gal antigen	https://glycomotif.glyomics.org/glycomotif/GGM.000015
GGM.000016	LacdiNAc	G31736BK	LDN|N,N'-diacetyllactosediamine	https://glycomotif.glyomics.org/glycomotif/GGM.000016
GGM.000017	Fucosylated LDN	G02240AO	LDNF|LacdiNAc|N,N'-diacetyllactosediamine	https://glycomotif.glyomics.org/glycomotif/GGM.000017
GGM.000018	Lewis x	G01187XC	Le^x|Lex|SSEA-1	https://glycomotif.glyomics.org/glycomotif/GGM.000018
GGM.000019	Lewis y	G49963IQ	Le^y|Ley	https://glycomotif.glyomics.org/glycomotif/GGM.000019
GGM.000020	Lewis a	G00047MO	Le^a|Lea	https://glycomotif.glyomics.org/glycomotif/GGM.000020
GGM.000021	Lewis b	G39211DH	Le^b|Leb	https://glycomotif.glyomics.org/glycomotif/GGM.000021
GGM.000022	Sialyl Lewis x	G00054MO	Lewis x|SLe^x|SLex|Slex	https://glycomotif.glyomics.org/glycomotif/GGM.000022
GGM.000024	Sialyl Lewis a	G00053MO	CA19-9 antigen|Lewis a|SLe^a|SLea|Slea	https://glycomotif.glyomics.org/glycomotif/GGM.000024
GGM.000025	6'-Sulfo-sialyl Lewis x	G00672PE	6'-Sulfo Sialyl Lewis x|6'-sulfo SLe^x|6'-sulfo SLex|Lewis x	https://glycomotif.glyomics.org/glycomotif/GGM.000025
GGM.000026	2,6-sialyl-Sulfo-LN	G43191LZ	6-sialyl-6-sulfo LN|LacNAc|N-acetyllactosamine	https://glycomotif.glyomics.org/glycomotif/GGM.000026
GGM.000027	6-Sulfo-sialyl Lewis x	G80722US	6-Sulfo Sialyl Lewis x|6-sulfo SLe^x|6-sulfo SLex|Lewis x	https://glycomotif.glyomics.org/glycomotif/GGM.000027
GGM.000028	6,6'-bisSulfo-Lewis x	G00659GQ	6,6'-Disulfo Sialyl Lewis x|6,6'-bissulfo Le^x|6,6'-bissulfo Lex|Lewis x	https://glycomotif.glyomics.org/glycomotif/GGM.000028
GGM.000029	3'-Sulfo-Lewis x	G12295TB	3'-Sulfo Lewis x|3'-sulfo Le^x|3'-sulfo Lex|Lewis x	https://glycomotif.glyomics.org/glycomotif/GGM.000029
GGM.000030	3'-Sulfo-Lewis a	G78706CK	3'-Sulfo Le^a|3'-Sulfo Lea|3'-Sulfo Lewis a|Lewis a	https://glycomotif.glyomics.org/glycomotif/GGM.000030
GGM.000031	Lex-Lex	G79535HZ	Le^x-Le^x|Lewis x	https://glycomotif.glyomics.org/glycomotif/GGM.000031
GGM.000032	SDLex	G19619KS	Lewis x|SDLe^x	https://glycomotif.glyomics.org/glycomotif/GGM.000032
GGM.000033	VIM-2	G22418PV		https://glycomotif.glyomics.org/glycomotif/GGM.000033
GGM.000034	3-Sialyl-LN (type 2)	G10203DW	LacNAc|N-acetyllactosamine|N-acetyllactosamine type 2	https://glycomotif.glyomics.org/glycomotif/GGM.000034
GGM.000035	6-Sialyl-GalNAc	G73708UL	6-Sialyl LN (type 1)|6-Sialyl LN (type 2)	https://glycomotif.glyomics.org/glycomotif/GGM.000035
GGM.000036	Blood group H (type 2)	G61459JW	Blood group H|Blood group type 2	https://glycomotif.glyomics.org/glycomotif/GGM.000036
GGM.000037	Blood group B (type 2)	G94956AW	Blood group B|Blood group type 2	https://glycomotif.glyomics.org/glycomotif/GGM.000037
GGM.000038	Blood group A (type 2)	G74353FF	Blood group A|Blood group type 2	https://glycomotif.glyomics.org/glycomotif/GGM.000038
GGM.000039	Blood group A (type 2) - Lewis y	G54826OZ	A-Le^y|A-Ley|Blood group A|Blood group type 2|Lewis y	https://glycomotif.glyomics.org/glycomotif/GGM.000039
GGM.000040	Blood group A1 (type 3)	G44060QH	Blood group A|Blood group type 3	https://glycomotif.glyomics.org/glycomotif/GGM.000040
GGM.000041	Blood group A2 (A-associated H type 3)	G62735WZ	Blood group A|Blood group type 3	https://glycomotif.glyomics.org/glycomotif/GGM.000041
GGM.000042	Blood group H (type 1)	G40696TO	Blood group H|Blood group type 1	https://glycomotif.glyomics.org/glycomotif/GGM.000042
GGM.000043	Blood group B (type 1)	G31734OS	Blood group B|Blood group type 1	https://glycomotif.glyomics.org/glycomotif/GGM.000043
GGM.000044	Blood group A (type 1)	G66163TI	Blood group A|Blood group type 1	https://glycomotif.glyomics.org/glycomotif/GGM.000044
GGM.000045	Blood group H (type 2) - Lewis y	G00052MO	Blood group H|Blood group type 2|H-Le^y|H-Ley|Lewis y	https://glycomotif.glyomics.org/glycomotif/GGM.000045
GGM.000046	Blood group B (type 1) - Lewis b	G89208KM	B-Le^b|B-Leb|Blood group B|Blood group type 1|Lewis b	https://glycomotif.glyomics.org/glycomotif/GGM.000046
GGM.000047	Blood group A (type 1) - Lewis b	G97501MA	A-Le^b|A-Leb|Blood group A|Blood group type 1|Lewis b	https://glycomotif.glyomics.org/glycomotif/GGM.000047
GGM.000049	4'-sulfated LDN	G18464VS	LacdiNAc|N,N'-diacetyllactosediamine	https://glycomotif.glyomics.org/glycomotif/GGM.000049
GGM.000050	Sialylated LDN	G55583HW	LacdiNAc|N,N'-diacetyllactosediamine	https://glycomotif.glyomics.org/glycomotif/GGM.000050
GGM.000051	Sda/CT antigen	G41052GC	Sd^a/CT antigen	https://glycomotif.glyomics.org/glycomotif/GGM.000051
GGM.000053	SLex Core 2 O-glycan	G97345NY	Lewis x|SLe^x Core 2 O-glycan	https://glycomotif.glyomics.org/glycomotif/GGM.000053
GGM.000054	Diphosphorylated Man6	G10907PF	Diphosphorylated Man_6	https://glycomotif.glyomics.org/glycomotif/GGM.000054
GGM.000055	O-Linked mannose	G59126YU		https://glycomotif.glyomics.org/glycomotif/GGM.000055
GGM.000056	2,6-Branched O-mannose	G06953DR		https://glycomotif.glyomics.org/glycomotif/GGM.000056
GGM.000057	O-Mannose Lex	G81516LH	Lewis x|O-Mannose Le^x	https://glycomotif.glyomics.org/glycomotif/GGM.000057
GGM.000058	HNK-1 antigen	G53277CD		https://glycomotif.glyomics.org/glycomotif/GGM.000058
GGM.000059	HNK-1 on O-mannose	G06898ZN		https://glycomotif.glyomics.org/glycomotif/GGM.000059
