id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
GGM.000001	Type 2 LN	G00055MO	N-acetyllactosamine type 2	LacNAc|N-acetyllactosamine	https://glycomotif.glyomics.org/glycomotif/GGM.000001	"{""keep"": true, ""suggested_class"": ""1B"", ""notes"": ""Has exact synonym N-acetyllactosamine type 2. Has broad synonym N-acetyllactosamine.""}"
GGM.000002	Type 2 LN2	G00058MO	i antigen	LacNAc|N-acetyllactosamine|N-acetyllactosamine type 2	https://glycomotif.glyomics.org/glycomotif/GGM.000002	"{""keep"": true, ""suggested_class"": ""1B"", ""notes"": ""Has broad synonym i-antigen. Has broad synonym N-acetyllactosamine type 2.""}"
GGM.000003	I antigen	G56045WU			https://glycomotif.glyomics.org/glycomotif/GGM.000003	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000004	i antigen	G46055MA		LacNAc|N-acetyllactosamine|N-acetyllactosamine type 2	https://glycomotif.glyomics.org/glycomotif/GGM.000004	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Has broad synonym N-acetyllactosamine type 2.""}"
GGM.000005	Type 1 LN	G00056MO		LacNAc|N-acetyllactosamine|N-acetyllactosamine type 1	https://glycomotif.glyomics.org/glycomotif/GGM.000005	"{""keep"": true, ""suggested_class"": ""1B"", ""notes"": ""Has exact synonym N-acetyllactosamine type 1. Has broad synonym N-acetyllactosamine.""}"
GGM.000006	Type 1 LN2	G43784HS		LacNAc|N-acetyllactosamine|N-acetyllactosamine type 1	https://glycomotif.glyomics.org/glycomotif/GGM.000006	"{""keep"": true, ""suggested_class"": ""1B"", ""notes"": ""Has broad synonym N-acetyllactosamine type 1.""}"
GGM.000007	Type 1 LN3	G17961XM		LacNAc|N-acetyllactosamine|N-acetyllactosamine type 1	https://glycomotif.glyomics.org/glycomotif/GGM.000007	"{""keep"": true, ""suggested_class"": ""1B"", ""notes"": ""Has broad synonym N-acetyllactosamine type 1.""}"
GGM.000008	Tn antigen	G57321FI			https://glycomotif.glyomics.org/glycomotif/GGM.000008	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000009	T antigen	G00031MO	TF antigen		https://glycomotif.glyomics.org/glycomotif/GGM.000009	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Has exact synonym TF antigen.""}"
GGM.000010	H antigen (type 3)	G94435QH		Blood group H|Blood group type 3	https://glycomotif.glyomics.org/glycomotif/GGM.000010	"{""keep"": true, ""suggested_class"": ""1A""}"
