#label	id	bgsl_curator_meta
"""1-3,1-4 beta Glucan"""	https://glytoucan.org/Structures/Glycans/G46558JB	"{""keep"": true, ""suggested_class"": ""1C""}"
1-6 beta Galactan	https://glytoucan.org/Structures/Glycans/G69386QK	"{""keep"": true, ""suggested_class"": ""1C""}"
2-3 Sialyl-Lacto-N-Tetraose	https://glytoucan.org/Structures/Glycans/G21066IE	"{""keep"": true, ""suggested_class"": ""2A""}"
2-3 Sialylparagloboside	https://glytoucan.org/Structures/Glycans/G01767JJ	"{""keep"": true, ""suggested_class"": ""2A""}"
"""2,6-Branched O-mannose"""	https://glytoucan.org/Structures/Glycans/G06953DR	"{""keep"": true, ""suggested_class"": ""2C""}"
2-6 Sialyl i-Lewis x	https://glytoucan.org/Structures/Glycans/G93855LZ	"{""keep"": true, ""suggested_class"": ""1A""}"
2-6 Sialyl-LacNAc-Gal	https://glytoucan.org/Structures/Glycans/G03509EL	"{""keep"": true, ""suggested_class"": ""2A""}"
2-6 Sialyl Lewis x	https://glytoucan.org/Structures/Glycans/G93855LZ	"{""keep"": true, ""suggested_class"": ""1A""}"
2-6 Sialylparagloboside	https://glytoucan.org/Structures/Glycans/G83513YI	"{""keep"": true, ""suggested_class"": ""2A""}"
"""2,6-sialyl-Sulfo-LN (6-sialyl-6-sulfo LN)"""	https://glytoucan.org/Structures/Glycans/G92341SR	"{""keep"": true, ""suggested_class"": ""1B""}"
"""2,6-sialyl-Sulfo-LN"""	https://glytoucan.org/Structures/Glycans/G41145LF	"{""keep"": true, ""suggested_class"": ""1B""}"
"""2,6-sialyl-Sulfo-LN"""	https://glytoucan.org/Structures/Glycans/G43191LZ	"{""keep"": true, ""suggested_class"": ""1B""}"
"""2-9, 2-6 Disialyllactosylceramide"""	https://glytoucan.org/Structures/Glycans/G30187JM	"{""keep"": true, ""suggested_class"": ""1A""}"
2'-fluorine-3'-sialyl-N-acetyllactosamine	https://glytoucan.org/Structures/Glycans/G47812NS	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
2'-fluorine-3'-sialyl-N-acetyllactosamine	https://glytoucan.org/Structures/Glycans/G62593IS	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
2-Fucosyl-GD1b	https://glytoucan.org/Structures/Glycans/G67383AR	"{""keep"": true, ""suggested_class"": ""1A""}"
2-Fucosyl-GD1b	https://glytoucan.org/Structures/Glycans/G93694YU	"{""keep"": true, ""suggested_class"": ""1A""}"
2-Fucosyl-GM1	https://glytoucan.org/Structures/Glycans/G56526JU	"{""keep"": true, ""suggested_class"": ""1A""}"
2-Fucosyl-GM1	https://glytoucan.org/Structures/Glycans/G91532KA	"{""keep"": true, ""suggested_class"": ""1A""}"
3'-Sulfo-Lewis a (3'-Sulfo Lea)	https://glytoucan.org/Structures/Glycans/G14395NH	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""3'-Sulfo-Lewis a"", ""notes"": ""Has abbreviation 3'-Sulfo Lea""}"
3'-Sulfo-Lewis x (3'-sulfo Lex))	https://glytoucan.org/Structures/Glycans/G51907PX	"{""keep"": true, ""suggested_class"": ""1A""}"
3-Sialyl-LN	https://glytoucan.org/Structures/Glycans/G10203DW	"{""keep"": true, ""suggested_class"": ""1B""}"
3'-sialyl-N-acetyllactosamine(1-3)	https://glytoucan.org/Structures/Glycans/G59168YE	"{""keep"": true, ""suggested_class"": ""2A""}"
3'-sialyl-N-acetyllactosamine	https://glytoucan.org/Structures/Glycans/G00065MO	"{""keep"": true}"
3'-Sulfo Lea	https://glytoucan.org/Structures/Glycans/G78706CK	"{""keep"": true, ""suggested_class"": ""1A""}"
3-Sulfo-Lewis a (3'-Sulfo Lewis a)	https://glytoucan.org/Structures/Glycans/G78706CK	"{""keep"": true, ""suggested_class"": ""1A""}"
3'-Sulfo-Lewis a	https://glytoucan.org/Structures/Glycans/G36845IZ	"{""keep"": true, ""suggested_class"": ""1A""}"
3'-Sulfo Lewis a	https://glytoucan.org/Structures/Glycans/G78706CK	"{""keep"": true, ""suggested_class"": ""1A""}"
3-Sulfo-Lewis x (3-sulfo LewisX)	https://glytoucan.org/Structures/Glycans/G12295TB	"{""keep"": true, ""suggested_class"": ""1A""}"
3'-Sulfo-Lewis x	https://glytoucan.org/Structures/Glycans/G26555CS	"{""keep"": true, ""suggested_class"": ""1A""}"
4'-sulfated LDN	https://glytoucan.org/Structures/Glycans/G31301MT	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""4'-sulfated LDN""}"
4'-sulfated LDN	https://glytoucan.org/Structures/Glycans/G18464VS	"{""keep"": true, ""suggested_class"": ""1B""}"
6'-Sulfo-sialyl Lewis x (6'-sulfo SLex)	https://glytoucan.org/Structures/Glycans/G06378CG	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""6'-Sulfo-sialyl Lewis x (6'-sulfo SLex)""}"
"""6,6'-bisSulfo-Lewis x (6,6'-bissulfo Lex))"""	https://glytoucan.org/Structures/Glycans/G23094GH	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""6,6'-bisSulfo-Lewis x"", ""notes"": ""Has abbreviation 6,6'-bissulfo Lex.""}"
"""6,6,6'-Sulfo LacNAc"""	https://glytoucan.org/Structures/Glycans/G41392LY	"{""keep"": true, ""suggested_class"": ""1B""}"
"""6,6'-bisSulfo-Lewis x"""	https://glytoucan.org/Structures/Glycans/G46799JK	"{""keep"": true, ""suggested_class"": ""1A""}"
"""6,6'- Disulfo Sialyl Lewis x"""	https://glytoucan.org/Structures/Glycans/G00659GQ	"{""keep"": true, ""suggested_class"": ""1A""}"
"""6, 6'-Sulfo LacNAc"""	https://glytoucan.org/Structures/Glycans/G24270KX	"{""keep"": true, ""suggested_class"": ""1B""}"
6-Sialyl-GalNAc	https://glytoucan.org/Structures/Glycans/G73708UL	"{""keep"": true, ""suggested_class"": ""2A""}"
6-Sialyl-GalNAc or 6-Sialyl LN	https://glytoucan.org/Structures/Glycans/G08371CD	"{""keep"": true, ""suggested_class"": ""2A"", ""preferred_label_override"": ""6-Sialyl-GalNAc""}"
6-Sialyl-GalNAc or 6-Sialyl LN (type 1 or 2)	https://glytoucan.org/Structures/Glycans/G73708UL	"{""keep"": true, ""suggested_class"": ""2A""}"
6-Sialyl LN (type 1)	https://glytoucan.org/Structures/Glycans/G73708UL	"{""keep"": true}"
6-Sialyl LN (type 2)	https://glytoucan.org/Structures/Glycans/G73708UL	"{""keep"": true}"
6'-sialyl-N-acetyllactosamine	https://glytoucan.org/Structures/Glycans/G09376MR	"{""keep"": true}"
6-Sulfo LacNAc	https://glytoucan.org/Structures/Glycans/G13157WZ	"{""keep"": true, ""suggested_class"": ""1B""}"
6-Sulfo Lewis x	https://glytoucan.org/Structures/Glycans/G89307GT	"{""keep"": true, ""suggested_class"": ""1A""}"
6-sulfo sialyl Lewis c	https://glytoucan.org/Structures/Glycans/G93779QZ	"{""keep"": true}"
6-Sulfo-sialyl Lewis x (6-sulfo SLex)	https://glytoucan.org/Structures/Glycans/G53231FE	"{""keep"": true, ""suggested_class"": ""1A""}"
6-Sulfo-sialyl Lewis x (6-sulfo SLex)	https://glytoucan.org/Structures/Glycans/G80722US	"{""keep"": true, ""suggested_class"": ""1A""}"
6'-Sulfo Sialyl Lewis x	https://glytoucan.org/Structures/Glycans/G00672PE	"{""keep"": true, ""suggested_class"": ""1A""}"
6-Sulfo-sialyl Lewis x	https://glytoucan.org/Structures/Glycans/G23322RK	"{""keep"": true, ""suggested_class"": ""1A""}"
6'-Sulfo-sialyl Lewis x	https://glytoucan.org/Structures/Glycans/G77659VW	"{""keep"": true, ""suggested_class"": ""1A""}"
6-sulfo sialyl Lewis X	https://glytoucan.org/Structures/Glycans/G80722US	"{""keep"": true, ""suggested_class"": ""1A""}"
6-Sulfo Sialyl Lewis x	https://glytoucan.org/Structures/Glycans/G80722US	"{""keep"": true, ""suggested_class"": ""1A""}"
6-sulfo SLex	https://glytoucan.org/Structures/Glycans/G80722US	"{""keep"": true, ""suggested_class"": ""1A""}"
9-O-Acetyl GD3	https://glytoucan.org/Structures/Glycans/G74121RX	"{""keep"": true, ""suggested_class"": ""1A""}"
9-O-Acetyl GD3	https://glytoucan.org/Structures/Glycans/G81928IQ	"{""keep"": true, ""suggested_class"": ""1A""}"
9-O-Acetyl GD3	https://glytoucan.org/Structures/Glycans/G98544DH	"{""keep"": true, ""suggested_class"": ""1A""}"
9-O-Acetyl Sialic Acid	https://glytoucan.org/Structures/Glycans/G47325QT	"{""keep"": true, ""suggested_class"": ""3B""}"
A antigen	https://glytoucan.org/Structures/Glycans/G71832QJ	"{""keep"": true, ""suggested_class"": ""1A""}"
A antigen (type 3)	https://glytoucan.org/Structures/Glycans/G99315PE	"{""keep"": true, ""suggested_class"": ""1A""}"
Acharan Sulfate	https://glytoucan.org/Structures/Glycans/G25575JK	"{""keep"": true, ""suggested_class"": ""1A""}"
A-galactosylparagloboside	https://glytoucan.org/Structures/Glycans/G60645OK	"{""keep"": true}"
a-Gal antigen	https://glytoucan.org/Structures/Glycans/G00046MO	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""alpha-Gal antigen""}"
a-Gal antigen	https://glytoucan.org/Structures/Glycans/G24432YB	"{""keep"": true, ""suggested_class"": ""1A""}"
A-Leb	https://glytoucan.org/Structures/Glycans/G97501MA	"{""keep"": true, ""suggested_class"": ""1A""}"
A Lewis b	https://glytoucan.org/Structures/Glycans/G48600JD	"{""keep"": true, ""suggested_class"": ""1A""}"
A-Ley	https://glytoucan.org/Structures/Glycans/G54826OZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Alpha-Galactosyl Epitope	https://glytoucan.org/Structures/Glycans/G27798EJ	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Has exact synonym alpha-Gal antigen""}"
alpha-Gal antigen	https://glytoucan.org/Structures/Glycans/G24432YB	"{""keep"": true, ""suggested_class"": ""1A""}"
alpha-oligomannoside	https://glytoucan.org/Structures/Glycans/G07490EK	"{""keep"": true}"
alpha-oligomannoside	https://glytoucan.org/Structures/Glycans/G29313LW	"{""keep"": true}"
alpha-oligomannoside	https://glytoucan.org/Structures/Glycans/G51379UR	"{""keep"": true}"
Antigen A	https://glytoucan.org/Structures/Glycans/G58507AZ	"{""keep"": true}"
Antigen H	https://glytoucan.org/Structures/Glycans/G88393MK	"{""keep"": true}"
Arabinan	https://glytoucan.org/Structures/Glycans/G22535ZZ	"{""keep"": true, ""suggested_class"": ""1C""}"
Arabinogalactan Type I	https://glytoucan.org/Structures/Glycans/G98272RS	"{""keep"": true, ""suggested_class"": ""1C""}"
Arabinogalactan Type ll	https://glytoucan.org/Structures/Glycans/G12828SG	"{""keep"": true, ""suggested_class"": ""1C""}"
Asialo-GM1	https://glytoucan.org/Structures/Glycans/G00407UJ	"{""keep"": true, ""suggested_class"": ""1A""}"
Asialo GM1	https://glytoucan.org/Structures/Glycans/G21856LC	"{""keep"": true, ""suggested_class"": ""1A""}"
Asialo-GM1	https://glytoucan.org/Structures/Glycans/G21856LC	"{""keep"": true, ""suggested_class"": ""1A""}"
