id	label	bgsl_curator_meta
https://identifiers.org/glyconavi/GN_CAN21	alpha()2-6)sialyl lactotetraosylceramide	"{""keep"": true, ""suggested_class"": ""2A""}"
https://identifiers.org/glyconavi/GN_CAN21	alpha(2-6)sialyl lactotetraosylceramide	"{""keep"": true, ""suggested_class"": ""2A""}"
https://identifiers.org/glyconavi/GN_CAN86	2'F-A type 2	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
https://identifiers.org/glyconavi/GN_CAN68	2'F-B type 2	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
https://identifiers.org/glyconavi/GN_CAN33	2'FL	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN46	3'-KDNLec	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN43	3'GN type1	"{""keep"": true, ""suggested_class"": ""2B""}"
https://identifiers.org/glyconavi/GN_CAN90	3'GN-Di-LN	"{""keep"": true, ""suggested_class"": ""2C""}"
https://identifiers.org/glyconavi/GN_CAN47	3'KDNLN	"{""keep"": true, ""suggested_class"": ""2B""}"
https://identifiers.org/glyconavi/GN_CAN99	3'S-Di-LN	"{""keep"": true, ""suggested_class"": ""2C""}"
https://identifiers.org/glyconavi/GN_CAN91	3'S-Di-LeA	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN94	3'S-Di-Lec	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN98	3'S-Di-Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN52	3'SLDN	"{""keep"": true, ""suggested_class"": ""1B""}"
https://identifiers.org/glyconavi/GN_CAN51	3'SLN	"{""keep"": true, ""suggested_class"": ""2B""}"
https://identifiers.org/glyconavi/GN_CAN101	3'SLN-Lec	"{""keep"": true, ""suggested_class"": ""2C""}"
https://identifiers.org/glyconavi/GN_CAN92	3'SLeA-LeX	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN48	3'SLec	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN95	3'SLecLN	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN97	3'SLex	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN100	3'STri-LN	"{""keep"": true, ""suggested_class"": ""2B""}"
https://identifiers.org/glyconavi/GN_CAN105	6'S-Di-LN	"{""keep"": true, ""suggested_class"": ""2B""}"
https://identifiers.org/glyconavi/GN_CAN53	6'SL	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN55	6'SLDN	"{""keep"": true, ""suggested_class"": ""2B""}"
https://identifiers.org/glyconavi/GN_CAN54	6'SLN	"{""keep"": true, ""suggested_class"": ""2B""}"
https://identifiers.org/glyconavi/GN_CAN106	6SLN-Lec	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN87	A tetra L	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN85	A tetra type 1	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN88	A tetra type 2	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN69	B tetra L	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN67	B tetra type 1	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN70	B tetra type 2	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN37	B2-tri	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN103	CT/Sda	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN3	Ceramide trihexosides(CTH)	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN82	Di-LN	"{""keep"": true, ""suggested_class"": ""1B""}"
https://identifiers.org/glyconavi/GN_CAN74	Di-LeA	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN78	Di-Lec	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN79	Di-Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN4	Fucosyl GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN8	GD1a	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN104	GD1a	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN9	GD1b	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN107	GD2	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN108	GD3	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN10	GD3	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN13	GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN96	GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN102	GM2	"{""keep"": true, ""suggested_class"": ""1A""}"
https://identifiers.org/glyconavi/GN_CAN14	GM2	"{""keep"": true, ""suggested_class"": ""1A""}"
