id	label	bgsl_curator_meta
http://rdf.glyconavi.org/CarTNa/CarTNa190/trivialname	α,α-Trehalose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa86/trivialname	2'F-A type 2	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa68/trivialname	2'F-B type 2	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa33/trivialname	2'FL	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa142/trivialname	2-Deoxyglucose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa141/trivialname	2-Deoxyribose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa46/trivialname	3'-KDNLec	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa43/trivialname	3'GN type1	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa90/trivialname	3'GN-Di-LN	"{""keep"": true, ""suggested_class"": ""2C""}"
http://rdf.glyconavi.org/CarTNa/CarTNa47/trivialname	3'KDNLN	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa99/trivialname	3'S-Di-LN	"{""keep"": true, ""suggested_class"": ""2C""}"
http://rdf.glyconavi.org/CarTNa/CarTNa91/trivialname	3'S-Di-LeA	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa94/trivialname	3'S-Di-Lec	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa98/trivialname	3'S-Di-Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa59/trivialname	3'SL (Gc)	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa52/trivialname	3'SLDN	"{""keep"": true, ""suggested_class"": ""1B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa51/trivialname	3'SLN	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa60/trivialname	3'SLN (Gc)	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa101/trivialname	3'SLN-Lec	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa92/trivialname	3'SLeA-LeX	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa48/trivialname	3'SLec	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa58/trivialname	3'SLec (Gc)	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa95/trivialname	3'SLecLN	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa97/trivialname	3'SLex	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa100/trivialname	3'STri-LN	"{""keep"": true, ""suggested_class"": ""2C""}"
http://rdf.glyconavi.org/CarTNa/CarTNa105/trivialname	6'S-Di-LN	"{""keep"": true, ""suggested_class"": ""2C""}"
http://rdf.glyconavi.org/CarTNa/CarTNa53/trivialname	6'SL	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa55/trivialname	6'SLDN	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa54/trivialname	6'SLN	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa61/trivialname	6'SLN (Gc)	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa41/trivialname	6'STF	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa106/trivialname	6SLN-Lec	"{""keep"": true, ""suggested_class"": ""1A""}"
