#label	id	bgsl_curator_meta
AGM1	https://glycosmos.org/glycans/show/G21856LC	"{""keep"": true, ""suggested_class"": ""1A""}"
AGM2	https://glycosmos.org/glycans/show/G90562PB	"{""keep"": true, ""suggested_class"": ""1A""}"
AGM3	https://glycosmos.org/glycans/show/G15541SE	"{""keep"": true, ""suggested_class"": ""1A""}"
Arabinan	https://glycosmos.org/glycans/show/G22535ZZ	"{""keep"": true, ""suggested_class"": ""1C""}"
Chondroitin	https://glycosmos.org/glycans/show/G43702JT	"{""keep"": true, ""suggested_class"": ""1A""}"
Chondroitin-4-Sulfate	https://glycosmos.org/glycans/show/G19059PI	"{""keep"": true, ""suggested_class"": ""1A""}"
Chondroitin-6-Sulfate	https://glycosmos.org/glycans/show/G34992DF	"{""keep"": true, ""suggested_class"": ""1A""}"
Fuc(a1-3)GalNAc(b1)	https://glycosmos.org/glycans/show/G57709BH	"{""keep"": true, ""suggested_class"": ""2A""}"
GA2	https://glycosmos.org/glycans/show/G90562PB	"{""keep"": true, ""suggested_class"": ""1A""}"
GD1a	https://glycosmos.org/glycans/show/G46677TE	"{""keep"": true, ""suggested_class"": ""1A""}"
GD1b	https://glycosmos.org/glycans/show/G37184KW	"{""keep"": true, ""suggested_class"": ""1A""}"
GD2	https://glycosmos.org/glycans/show/G02657AK	"{""keep"": true, ""suggested_class"": ""1A""}"
GD3	https://glycosmos.org/glycans/show/G98544DH	"{""keep"": true, ""suggested_class"": ""1A""}"
GM1	https://glycosmos.org/glycans/show/G48558GR	"{""keep"": true, ""suggested_class"": ""1A""}"
GM1a	https://glycosmos.org/glycans/show/G48558GR	"{""keep"": true, ""suggested_class"": ""1A""}"
GM1b	https://glycosmos.org/glycans/show/G03277YI	"{""keep"": true, ""suggested_class"": ""1A""}"
GM2	https://glycosmos.org/glycans/show/G79389NT	"{""keep"": true, ""suggested_class"": ""1A""}"
GM3	https://glycosmos.org/glycans/show/G91237TK	"{""keep"": true, ""suggested_class"": ""1A""}"
GM4	https://glycosmos.org/glycans/show/G30207PZ	"{""keep"": true, ""suggested_class"": ""1A""}"
GP1c	https://glycosmos.org/glycans/show/G26203DP	"{""keep"": true, ""suggested_class"": ""1A""}"
GQ1b	https://glycosmos.org/glycans/show/G18625KA	"{""keep"": true, ""suggested_class"": ""1A""}"
GQ1c	https://glycosmos.org/glycans/show/G99524KA	"{""keep"": true, ""suggested_class"": ""1A""}"
GT1a	https://glycosmos.org/glycans/show/G68110IF	"{""keep"": true, ""suggested_class"": ""1A""}"
GT1b	https://glycosmos.org/glycans/show/G40183QN	"{""keep"": true, ""suggested_class"": ""1A""}"
GT1c	https://glycosmos.org/glycans/show/G78818SP	"{""keep"": true, ""suggested_class"": ""1A""}"
GT2	https://glycosmos.org/glycans/show/G36476BA	"{""keep"": true, ""suggested_class"": ""1A""}"
GT3	https://glycosmos.org/glycans/show/G93899SO	"{""keep"": true, ""suggested_class"": ""1A""}"
Gal(b1-3)GalNAc	https://glycosmos.org/glycans/show/G78436BB	"{""keep"": true, ""suggested_class"": ""2A""}"
Gal(b1-4)[Fuc(a1-3)]Glc(b1)	https://glycosmos.org/glycans/show/G57548NB	"{""keep"": true, ""suggested_class"": ""2A""}"
Gal-CTH	https://glycosmos.org/glycans/show/G91649BT	"{""keep"": true, ""suggested_class"": ""2A""}"
GalNAc(b1-3)Gal(b1-4)GlcNAc	https://glycosmos.org/glycans/show/G61149BD	"{""keep"": true, ""suggested_class"": ""2A""}"
GalNAc(b1-4)Gal	https://glycosmos.org/glycans/show/G60859DF	"{""keep"": true, ""suggested_class"": ""2A""}"
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1)	https://glycosmos.org/glycans/show/G45058HZ	"{""keep"": true, ""suggested_class"": ""2A""}"
GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1)	https://glycosmos.org/glycans/show/G29406SZ	"{""keep"": true, ""suggested_class"": ""2A""}"
GalNAc-GD1a	https://glycosmos.org/glycans/show/G92175CL	"{""keep"": true, ""suggested_class"": ""1A""}"
Galabiosylceramide	https://glycosmos.org/glycans/show/G67988RO	"{""keep"": true, ""suggested_class"": ""1A""}"
Galactomannan	https://glycosmos.org/glycans/show/G93424OB	"{""keep"": true, ""suggested_class"": ""1A""}"
Galactosylceramide	https://glycosmos.org/glycans/show/G65889KE	"{""keep"": true, ""suggested_class"": ""1A""}"
Galactosylgloboside	https://glycosmos.org/glycans/show/G99053DY	"{""keep"": true, ""suggested_class"": ""1A""}"
Gb3	https://glycosmos.org/glycans/show/G00059MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Gb4	https://glycosmos.org/glycans/show/G00061MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Gb5	https://glycosmos.org/glycans/show/G99053DY	"{""keep"": true, ""suggested_class"": ""1A""}"
Gg3	https://glycosmos.org/glycans/show/G90562PB	"{""keep"": true, ""suggested_class"": ""1A""}"
Gg4	https://glycosmos.org/glycans/show/G21856LC	"{""keep"": true, ""suggested_class"": ""1A""}"
Gg5	https://glycosmos.org/glycans/show/G96834JC	"{""keep"": true, ""suggested_class"": ""1A""}"
