#label	id	bgsl_curator_meta
Sialyl-Lewis A	http://rdf.glycoinfo.org/glycan/G00053MO	"{""keep"": true, ""suggested_class"": ""1A""}"
sLeA	http://rdf.glycoinfo.org/glycan/G00053MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Glycosphingolipid Ganglio	http://rdf.glycoinfo.org/glycan/G00071MO	"{""keep"": true, ""suggested_class"": ""3A""}"
Ganglio	http://rdf.glycoinfo.org/glycan/G00071MO	"{""keep"": true, ""suggested_class"": ""3A""}"
Glycosphingolipid Globo	http://rdf.glycoinfo.org/glycan/G00072MO	"{""keep"": true, ""suggested_class"": ""3A""}"
Globo	http://rdf.glycoinfo.org/glycan/G00072MO	"{""keep"": true, ""suggested_class"": ""3A""}"
O-Glycan core 7	http://rdf.glycoinfo.org/glycan/G00043MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Sialyl Lewis X	http://rdf.glycoinfo.org/glycan/G00054MO	"{""keep"": true, ""suggested_class"": ""1A""}"
sLeX	http://rdf.glycoinfo.org/glycan/G00054MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Peptidoglycan	http://rdf.glycoinfo.org/glycan/G00023MO	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
Blood group A	http://rdf.glycoinfo.org/glycan/G00066MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Heparin	http://rdf.glycoinfo.org/glycan/G54161DR	"{""keep"": true, ""suggested_class"": ""1A""}"
LPS	http://rdf.glycoinfo.org/glycan/G00022MO	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
Neo Lactosamine	http://rdf.glycoinfo.org/glycan/G00056MO	"{""keep"": true, ""suggested_class"": ""1B""}"
Glycosphingolipid Isoglobo	http://rdf.glycoinfo.org/glycan/G00012MO	"{""keep"": true, ""suggested_class"": ""3A""}"
O-Glycan core 4	http://rdf.glycoinfo.org/glycan/G00037MO	"{""keep"": true, ""suggested_class"": ""1A""}"
P1-Antigen	http://rdf.glycoinfo.org/glycan/G00060MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis B	http://rdf.glycoinfo.org/glycan/G00048MO	"{""keep"": true, ""suggested_class"": ""1A""}"
LeB	http://rdf.glycoinfo.org/glycan/G00048MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Glycosphingolipid Arthro	http://rdf.glycoinfo.org/glycan/G00014MO	"{""keep"": true, ""suggested_class"": ""3A""}"
N-Glycan high mannose	http://rdf.glycoinfo.org/glycan/G00028MO	"{""keep"": true, ""suggested_class"": ""1B""}"
high mannose	http://rdf.glycoinfo.org/glycan/G00028MO	"{""keep"": true, ""suggested_class"": ""1B""}"
N-Glycan complex	http://rdf.glycoinfo.org/glycan/G00030MO	"{""keep"": true, ""suggested_class"": ""1B""}"
Glycosphingolipid Muco	http://rdf.glycoinfo.org/glycan/G00013MO	"{""keep"": true, ""suggested_class"": ""3A""}"
GPI anchor	http://rdf.glycoinfo.org/glycan/G00045MO	"{""keep"": true, ""suggested_class"": ""1A""}"
O-Glycan core 4	http://rdf.glycoinfo.org/glycan/G00038MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Glycosphingolipid Gala	http://rdf.glycoinfo.org/glycan/G00016MO	"{""keep"": true}"
Lewis A	http://rdf.glycoinfo.org/glycan/G00047MO	"{""keep"": true, ""suggested_class"": ""1A""}"
LeA	http://rdf.glycoinfo.org/glycan/G00047MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Forssmann	http://rdf.glycoinfo.org/glycan/G00064MO	"{""keep"": true}"
Hyluronan	http://rdf.glycoinfo.org/glycan/G00017MO	"{""keep"": true}"
Lewis Y	http://rdf.glycoinfo.org/glycan/G00052MO	"{""keep"": true, ""suggested_class"": ""1A""}"
