#label	id	#tags	bgsl_curator_meta
AGM1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G21856LC		"{""keep"": true, ""suggested_class"": ""1A""}"
AGM2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G90562PB		"{""keep"": true, ""suggested_class"": ""1A""}"
AGM3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G15541SE		"{""keep"": true, ""suggested_class"": ""1A""}"
Arabinan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G22535ZZ		"{""keep"": true, ""suggested_class"": ""1C""}"
Chondroitin	https://api.glycosmos.org/wurcs2image/latest/png/binary/G43702JT		"{""keep"": true, ""suggested_class"": ""1A""}"
Chondroitin-4-Sulfate	https://api.glycosmos.org/wurcs2image/latest/png/binary/G19059PI		"{""keep"": true, ""suggested_class"": ""1A""}"
Chondroitin-6-Sulfate	https://api.glycosmos.org/wurcs2image/latest/png/binary/G34992DF		"{""keep"": true, ""suggested_class"": ""1A""}"
Fuc(a1-3)GalNAc(b1)	https://api.glycosmos.org/wurcs2image/latest/png/binary/G57709BH		"{""keep"": true, ""suggested_class"": ""2A""}"
GA2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G90562PB		"{""keep"": true, ""suggested_class"": ""1A""}"
GD1a	https://api.glycosmos.org/wurcs2image/latest/png/binary/G46677TE		"{""keep"": true, ""suggested_class"": ""1A""}"
GD1b	https://api.glycosmos.org/wurcs2image/latest/png/binary/G37184KW		"{""keep"": true, ""suggested_class"": ""1A""}"
GD2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G02657AK		"{""keep"": true, ""suggested_class"": ""1A""}"
GD3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G98544DH		"{""keep"": true, ""suggested_class"": ""1A""}"
GM1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G48558GR		"{""keep"": true, ""suggested_class"": ""1A""}"
GM1a	https://api.glycosmos.org/wurcs2image/latest/png/binary/G48558GR		"{""keep"": true, ""suggested_class"": ""1A""}"
GM1b	https://api.glycosmos.org/wurcs2image/latest/png/binary/G03277YI		"{""keep"": true, ""suggested_class"": ""1A""}"
GM2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G79389NT		"{""keep"": true, ""suggested_class"": ""1A""}"
GM3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G91237TK		"{""keep"": true, ""suggested_class"": ""1A""}"
GM4	https://api.glycosmos.org/wurcs2image/latest/png/binary/G30207PZ		"{""keep"": true, ""suggested_class"": ""1A""}"
GP1c	https://api.glycosmos.org/wurcs2image/latest/png/binary/G26203DP		"{""keep"": true, ""suggested_class"": ""1A""}"
GQ1b	https://api.glycosmos.org/wurcs2image/latest/png/binary/G18625KA		"{""keep"": true, ""suggested_class"": ""1A""}"
GQ1c	https://api.glycosmos.org/wurcs2image/latest/png/binary/G99524KA		"{""keep"": true, ""suggested_class"": ""1A""}"
GT1a	https://api.glycosmos.org/wurcs2image/latest/png/binary/G68110IF		"{""keep"": true, ""suggested_class"": ""1A""}"
GT1b	https://api.glycosmos.org/wurcs2image/latest/png/binary/G40183QN		"{""keep"": true, ""suggested_class"": ""1A""}"
GT1c	https://api.glycosmos.org/wurcs2image/latest/png/binary/G78818SP		"{""keep"": true, ""suggested_class"": ""1A""}"
GT2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G36476BA		"{""keep"": true, ""suggested_class"": ""1A""}"
GT3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G93899SO		"{""keep"": true, ""suggested_class"": ""1A""}"
Gal(b1-3)GalNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G78436BB		"{""keep"": true, ""suggested_class"": ""2A""}"
Gal(b1-4)[Fuc(a1-3)]Glc(b1)	https://api.glycosmos.org/wurcs2image/latest/png/binary/G57548NB		"{""keep"": true, ""suggested_class"": ""2A""}"
Gal-CTH	https://api.glycosmos.org/wurcs2image/latest/png/binary/G91649BT		"{""keep"": true, ""suggested_class"": ""1B""}"
GalNAc(b1-3)Gal(b1-4)GlcNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G61149BD		"{""keep"": true, ""suggested_class"": ""2A""}"
GalNAc(b1-4)Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G60859DF		"{""keep"": true, ""suggested_class"": ""2A""}"
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1)	https://api.glycosmos.org/wurcs2image/latest/png/binary/G45058HZ		"{""keep"": true, ""suggested_class"": ""2A""}"
GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1)	https://api.glycosmos.org/wurcs2image/latest/png/binary/G29406SZ		"{""keep"": true, ""suggested_class"": ""2A""}"
GalNAc-GD1a	https://api.glycosmos.org/wurcs2image/latest/png/binary/G92175CL		"{""keep"": true, ""suggested_class"": ""1A""}"
Galabiosylceramide	https://api.glycosmos.org/wurcs2image/latest/png/binary/G67988RO		"{""keep"": true, ""suggested_class"": ""1A""}"
Galactomannan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G93424OB		"{""keep"": true, ""suggested_class"": ""1C""}"
Galactosylceramide	https://api.glycosmos.org/wurcs2image/latest/png/binary/G65889KE		"{""keep"": true, ""suggested_class"": ""1A""}"
Galactosylgloboside	https://api.glycosmos.org/wurcs2image/latest/png/binary/G99053DY		"{""keep"": true, ""suggested_class"": ""1A""}"
Gb3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00059MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Gb4	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00061MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Gb5	https://api.glycosmos.org/wurcs2image/latest/png/binary/G99053DY		"{""keep"": true, ""suggested_class"": ""1A""}"
Gg3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G90562PB		"{""keep"": true, ""suggested_class"": ""1A""}"
Gg4	https://api.glycosmos.org/wurcs2image/latest/png/binary/G21856LC		"{""keep"": true, ""suggested_class"": ""1A""}"
Gg5	https://api.glycosmos.org/wurcs2image/latest/png/binary/G96834JC		"{""keep"": true, ""suggested_class"": ""1A""}"
GlcNAc(b1-3)Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G02880JU		"{""keep"": true, ""suggested_class"": ""2A""}"
GlcNAc(b1-3)Gal(b1-4)GlcNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G48117BL		"{""keep"": true, ""suggested_class"": ""1A""}"
Globoside	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00061MO		"{""keep"": true, ""suggested_class"": ""1A""}"
Glucomannan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G88924MD		"{""keep"": true, ""suggested_class"": ""1C""}"
Glucronoarabinoxylan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G54315VV		"{""keep"": true, ""suggested_class"": ""1C""}"
Glucronoxylan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G94091AV		"{""keep"": true, ""suggested_class"": ""1C""}"
HNK-1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G54406UD		"{""keep"": true, ""suggested_class"": ""1A""}"
Homogalacturonan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G25318VQ		"{""keep"": true, ""suggested_class"": ""1C""}"
KDN-Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G82612XX		"{""keep"": true, ""suggested_class"": ""2A""}"
LDN	https://api.glycosmos.org/wurcs2image/latest/png/binary/G31736BK		"{""keep"": true, ""suggested_class"": ""1B""}"
LDN-F	https://api.glycosmos.org/wurcs2image/latest/png/binary/G02240AO		"{""keep"": true, ""suggested_class"": ""1B""}"
