ligand_id	url	label	glycoconjugate_type	aglycon	ligand_types	ligand_synonyms	glycan_references:glytoucan	glycan_references:glyconnect	bgsl_curator_meta
SB0001	https://sugarbind.expasy.org/ligands/1	Galactosylceramide (LC, GalCer)	Glycosphingolipid	Ceramide		LC	G65889KE		"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Galactosylceramide""}"
SB0002	https://sugarbind.expasy.org/ligands/2	Gangliotetraosylceramide (Asialo-GM1, GgO4, Gg4, GA1, Asialo-GM1a)	Glycosphingolipid	Ceramide		Asialo-GM1 | Asialo-GM1a | GA1 | GgO4	G21856LC		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0003	https://sugarbind.expasy.org/ligands/3	Lactosylceramide (CDH, LacCer, Lc2)	Glycosphingolipid	Ceramide		LacCer | CDH	G84224TW		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0004	https://sugarbind.expasy.org/ligands/4	Gangliotriaosylceramide (Gg3, Asialo-GM2, GA2, Asialo-GM2a)	Glycosphingolipid	Ceramide		Asialo-GM2 | Asialo-GM2a | GA2	G90562PB		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0005	https://sugarbind.expasy.org/ligands/5	Glucosylceramide (Ceramide monohexoside, GlcCer, CMH)	Glycosphingolipid	Ceramide		CMH | Ceramide monohexoside	G71142DF		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0007	https://sugarbind.expasy.org/ligands/7	Galactose (Gal)			Glycotope		G68158BT	1492	"{""keep"": true, ""suggested_class"": ""3B""}"
SB0009	https://sugarbind.expasy.org/ligands/9	N-acetyl-D-galactosamine (GalNAc)			Glycotope		G61418DU		"{""keep"": true}"
SB0010	https://sugarbind.expasy.org/ligands/10	Isoglobotriaosylceramide (Isoglobotri, IGb3)	Glycosphingolipid	Ceramide		Isoglobotri	G78074HX		"{""keep"": true}"
SB0012	https://sugarbind.expasy.org/ligands/12	Gal(b1-3) globoside (SSEA-3, Stage-specific embryonic antigen-3)	Glycosphingolipid	Ceramide		Stage-specific embryonic antigen-3	G99053DY		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0013	https://sugarbind.expasy.org/ligands/13	Monosialogangliotetraosylceramide (Monosialoganglioside, NeuAc-GM1, GM1a, GM1)	Glycosphingolipid	Ceramide	Sialylated	GM1a | NeuAc-GM1 | Monosialoganglioside	G48558GR		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0014	https://sugarbind.expasy.org/ligands/14	Disialogangliotetraosylceramide (NeuAc-GD1b, Disialoganglioside, GD1b)	Glycosphingolipid	Ceramide	Sialylated	Disialoganglioside | NeuAc-GD1b	G37184KW		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0015	https://sugarbind.expasy.org/ligands/15	Neolactotetraosylceramide (NLc4, Paragloboside)	Glycosphingolipid	Ceramide		Paragloboside	G58896AZ		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0018	https://sugarbind.expasy.org/ligands/18	Globotetraosylceramide (Globoside, Gb4)	Glycosphingolipid	Ceramide		Globoside	G00061MO		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0020	https://sugarbind.expasy.org/ligands/20	Lactotriaosylceramide (Lc3)	Glycosphingolipid	Ceramide			G06239NA		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0022	https://sugarbind.expasy.org/ligands/22	Disialogangliotetraosylceramide (GD1a)	Glycosphingolipid	Ceramide	Sialylated		G46677TE		"{""keep"": true}"
SB0023	https://sugarbind.expasy.org/ligands/23	Leukosialin (SPN, Sialophorin, CD43)	Glycoprotein	Protein	Glycotope	Sialophorin | SPN	G78436BB	1947	"{""keep"": true}"
SB0024	https://sugarbind.expasy.org/ligands/24	Leukocyte common antigen (LCA, CD45)	Glycoprotein	Protein	Glycotope	LCA	G78436BB	1947	"{""keep"": true}"
SB0026	https://sugarbind.expasy.org/ligands/26	Lactotetraosylceramide (Lc4)	Glycosphingolipid	Ceramide			G00049MO		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0027	https://sugarbind.expasy.org/ligands/27	Globotriaosylceramide (CTH, Gb3, Trihexosylceramide)	Glycosphingolipid	Ceramide		CTH | Trihexosylceramide	G00059MO		"{""keep"": true}"
SB0028	https://sugarbind.expasy.org/ligands/28	Trisialogangliotetraosylceramide (NeuAc-GT1b, GT1b)	Glycosphingolipid	Ceramide	Sialylated	NeuAc-GT1b	G40183QN		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0031	https://sugarbind.expasy.org/ligands/31	Galabiose (Digalactoside, Ga2)			Glycotope	Digalactoside	G62763GO		"{""keep"": true}"
SB0032	https://sugarbind.expasy.org/ligands/32	Galabiosylceramide (Digalactosylceramide)	Glycosphingolipid	Ceramide		Digalactosylceramide	G67988RO		"{""keep"": true}"
