src_dir	line_idx	main_term	synonym	rel
src_biooligo	32	Blood group H antigen triose type 5	Blood group H antigen triose type 5 (2'-Fucosyllactose)	ignore
src_biooligo	37	Blood group H antigen tetraose type 4	Blood group H antigen tetraose type 4 (Globo H tetraose)	ignore
src_biooligo	49	LN3 Type 2	LN3 Type 2 [I antigen]	ignore
src_biooligo	53	N-Acetyl-D-Lactosamine	N-Acetyl-D-Lactosamine (LacNAc)	ignore
src_biooligo	54	Core type 4	Core type 4 (Elicityl)	ignore
src_biooligo	55	3'-sulpho Lewis A	3'-sulpho Lewis A [3S-Gal-3(Fuc)-GlcNAc]	ignore
src_biooligo	81	Xeno lewis X	Xeno lewis X (Gal Lewis x)	ignore
src_biooligo	86	Xeno antigen type 2	Xeno antigen type 2 (Galili antigen triose Gal a3 epitope)	ignore
src_biooligo	88	Isoglobotetraose	Isoglobotetraose (iGB4 & Cytolipin R)	ignore
src_biooligo	89	Isoglobotriose	Isoglobotriose (iGB3)	ignore
src_biooligo	91	GA1	GA1 (aGM1)	ignore
src_biooligo	92	GA2	GA2 (aGM2)	ignore
src_biooligo	109	di-Lewis x	di-Lewis x b1-4 Lewis x [di-Lewis x]	ignore
src_biooligo	116	Lewis X hexaose	Lewis X hexaose (also Lacto-N-neodifucohexaose, LeX-LeX)	ignore
src_biooligo	118	Lewis X tetraose	Lewis X tetraose [Gal-(Fuc)-GlcNAc-Gal]	ignore
src_biooligo	119	Lewis x triaose	Lewis x triaose [SSEA-1]	ignore
src_biooligo	122	Lewis y tetraose	Lewis y tetraose [Blood group H type 2]	ignore
src_biooligo	124	Slex-Lex	SLex-Lex (SDLeX)	ignore
src_biooligo	127	Sialyl Lewis a tetroase	Sialyl Lewis a tetraose (SLea)	ignore
src_biooligo	169	Sialylated LDN	Sialylated LDN [6-SLDN]	ignore
src_biooligo	172	3' sulfo Lewis X	3' sulfo Lewis X [3S-Gal-(Fuc)-GlcNAc]	ignore
src_biooligo	173	4' sulfo Lewis X	4' sulfo Lewis X [4S-Gal-(Fuc)-GlcNAc]	ignore
src_biooligo	186	(Man)3	(Man)3 chitobiose	narrow
src_biooligo	222	LS-tetrasaccharide a	LS-tetrasaccharide a (LSTa)	ignore
src_biooligo	224	LS-hexasaccharide d	LS-hexasaccharide d (3'-SiaLN-LN-LN)	ignore
src_biooligo	225	LS-tetrasaccharide d	LS-tetrasaccharide d (3'-SiaLN-LN-LN)	ignore
src_biooligo	228	3-Sialyl-LN type 2	3-Sialyl-LN type 2 [Sialylated triose type 2, 3'-SLN]	ignore
src_biooligo	232	3-Sialyl-LN type 2	3-Sialyl-LN type 2 [Sialylated triose type 2, 3'-SLN]	ignore
src_cummings	0	Type 2 LN	N-acetyllactosamine	exact
src_cummings	1	Type 2 LN2	i antigen	broad
src_cummings	7	T antigen	T (also TF) antigen	ignore
src_cummings	8	H antigen type 3	type 3	ignore
src_cummings	8	H antigen type 3	H antigen	broad
src_cummings	9	A antigen type 3	type 3	ignore
src_cummings	9	A antigen type 3	A antigen	broad
src_cummings	14	LacdiNAc	LDN	abbreviation
src_cummings	15	Fucosylated LDN	LDNF	abbreviation
src_cummings	16	Lewis x	Lex) (SSEA-1	ignore
src_cummings	17	Lewis y	Ley	abbreviation
src_cummings	18	Lewis a	Lea	abbreviation
src_cummings	19	Lewis b	Leb	abbreviation
src_cummings	20	Sialyl Lewis x	SLex	abbreviation
src_cummings	22	Sialyl Lewis a	SLea) (CA19-9 antigen	ignore
src_cummings	23	6'-Sulfo-sialyl Lewis x	6'-sulfo SLex	exact
src_cummings	24	2,6-sialyl-Sulfo-LN	6-sialyl-6-sulfo LN	exact
src_cummings	25	6-Sulfo-sialyl Lewis x	6-sulfo SLex	exact
src_cummings	26	6,6'-bisSulfo-Lewis x	6	ignore
