lbl,gsd_id
β3-linked glucose,None
1-4-linked α-L-guluronic acid,None
1-4-linked β-D-mannuronic acid,None
β6-linked galactose,None
β6-linked glucose,None
2-6-branch of complex N-glycans,None
2′-fucosyllactose,None
3-O-sulfated galactose,None
3-O-sulfated GlcNS6S,None
chondroitin-4-sulfate,None
6-O-sulfated glucosamine,None
6-sulfo-sialyl Lewis x,GSD000188
6′-sulfo-sialyl Lewis x,GSD000011
9-O-acetylated sialic acid,GSD000013
ABO blood group antigens,None
alkylacylphosphatidylinositol-anchored glycan,None
amylopectin,None
apiogalacturonan,None
arabinoglucuronoxylan,None
arthroseries glycosphingolipids,None
a-series gangliosides,None
asialo-GM1,GSD000019
GA1,None
biantennary complex-type N-glycan,GSD000023
biantennary N-glycan,GSD000022
bisected complex-type N-glycan,None
bisecting GlcNAc,GSD000024
bisecting α1-4GlcNAc,None
blood group A determinant,GSD000029
blood group antigens,None
blood group B determinant,None
blood group H determinant,None
blood group H type-1,GSD000036
branched N-glycan,None
b-series gangliosides,None
callose,None
cellobiose,None
cellulose,None
chitin,None
chitobiose,None
chondroitin,None
chondroitin sulfate A,None
chondroitin sulfate B,None
chondroitin sulfate C,None
chondroitin sulfate,GSD000043
C-mannose,None
complex ganglioside,None
complex glycan,None
complex glycolipid,None
complex O-glycan,None
complex-type N-glycan,GSD000045
sialylated complex-type N-glycan,GSD000155
core 1 O-glycan,GSD000186
core 2 O-glycan,GSD000046
core 3 O-glycan,GSD000047
core 4 O-glycan,GSD000048
core fucose,GSD000049
core M1 O-mannose glycan,None
core M2 O-mannose glycan,None
core M3 O-mannose glycan,None
c-series gangliosides,None
cyclic β1-2 glucan,None
dermatan sulfate,GSD000054
dextran,None
di-N-acetylbacillosamine,None
disialyl Lewis a,GSD000063
extended core-1 O-glycan,None
fructans,None
fucoidans,None
fucosylated glycans,None
fucosylated N-glycan,GSD000076
Fucα1-2Gal,None
G0,None
galabiose,None
galactan,None
galactolipid,None
galactomannan,None
galactose-terminated N-glycan branch,None
galactosylceramide,GSD000079
GalNAcα1-3Gal,None
GalNAcα1-4GalNAcα1-3-diNAcBac,None
GalNAcα1-4GalNAcα1-4,None
Galα1-3GalNAc,None
Galα1-3Galα,None
Galα1-3Galβ1-4GlcNAc,None
Galα1-3Glcα,None
Galβ1-3GalNAcβ1-4Gal,None
Galβ1-3GlcNAcβ1-3Galβ1-4GlcNAc,None
ganglio-series glycosphingolipid,None
ganglioside,None
Gb3,GSD000089
Pk antigen,None
CD77,None
Gb4,GSD000088
P antigen,GSD000088
GD1a,GSD000083
GD1b,GSD000084
