term	exact_synonyms	abbreviations	broad_synonyms	narrow_synonyms	related_synonyms	classification	gtc_id	gsd_id	glycomotif_id	sources	eog_sentence
''I'' antigen				Type 2 LN2		1A	G46055MA; G56045WU; G00058MO; G26929DQ		GlycoMotif:GGM.000004; GlycoMotif:GGM.000002; GlycoMotif:GDV.000040	PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GDV	
2'FL						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
2-6 sialyl i-Lewis x						1A	G93855LZ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
2-6 Sialyl Lewis x						1A	G93855LZ			PUBDICT_GLYCAN_MOTIF	
2-9,2-6 disialyllactosylceramide						1A	G30187JM			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
2-fucosyl GD1b						1A	G67383AR; G93694YU	GSD000003	GlycoMotif:GGM.000103; GlycoMotif:GDV.000010; GlycoMotif:CCRC.000103	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
2-fucosyl GM1			fucosyl GM1			1A	G56526JU; G91532KA	GSD000004	GlycoMotif:GGM.000101; GlycoMotif:GDV.000009; GlycoMotif:CCRC.000101	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
3'-KDN-Lewis c	3'-KDNLec					1A				BIOOLIGO; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
3'-SiaDi-LN						1A				BIOOLIGO	
3'-Sialyl-Lewis c						1A				BIOOLIGO	
3'-sulfo Lewis a	3'-Sulfo-Lea; 3'-sulpho-Le(a); 3-O-sulfo-Le(A); 3'-Sulfo Le^a; 3'-Sulfo Lea; 3'-Sulfo Lewis a; 3'-sulpho Lewis A	SuLe(a); 3'-Sulfo Lea; 3'-Sulfo Le^a				1A	G78706CK; G36845IZ; G14395NH	GSD000006	GlycoMotif:GGM.000030; GlycoMotif:GDV.000047; GlycoMotif:CCRC.000030	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; BIOOLIGO	
