bgsl_id	term	exact_synonyms	abbreviations	broad_synonyms	narrow_synonyms	related_synonyms	classification	gtc_id	gsd_id	glycomotif_id	sources	eog_sentence
GSD:0264d39d-5c78-4d87-91e1-86e294df4b45	2'FL						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:de926fb1-1f54-47eb-bbd3-33d4629eb5ea	2-6 sialyl i-Lewis x						1A	G93855LZ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:f58b5b41-951c-418f-81bf-a098d895c9d4	2-6 Sialyl Lewis x						1A	G93855LZ			PUBDICT_GLYCAN_MOTIF	
GSD:0a5b406f-05a2-4f1a-b6fb-abe589e7013d	2-9,2-6 disialyllactosylceramide						1A	G30187JM			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:39f43575-ae55-4706-9456-72a78938691b	2-fucosyl GD1b						1A	G67383AR; G93694YU	GSD000003	GlycoMotif:GGM.000103; GlycoMotif:GDV.000010; GlycoMotif:CCRC.000103	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GSD:9206a8e4-f606-4bab-b7e6-5c0a17da023e	2-fucosyl GM1			fucosyl GM1			1A	G56526JU; G91532KA	GSD000004	GlycoMotif:GGM.000101; GlycoMotif:GDV.000009; GlycoMotif:CCRC.000101	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GSD:78e57684-932d-4b0e-9111-88c999354c7d	3'-KDN-Lewis c	3'-KDNLec					1A				BIOOLIGO; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:50bd5cc3-a7af-4947-8611-3338bce8c73a	3'-SiaDi-LN						1A				BIOOLIGO	
GSD:b0a837cb-af50-48ab-af6e-b7f078dcd176	3'-sialyl-Lewis c	3'-Sialyl-Lewis c	3'SLec				1A				BIOOLIGO; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:969a1348-7a24-4a66-866b-c87caba8a9e8	3'-sulfo Lewis a	3'-Sulfo-Lea; 3'-sulpho-Le(a); 3-O-sulfo-Le(A); 3'-Sulfo Le^a; 3'-Sulfo Lea; 3'-Sulfo Lewis a; 3'-sulpho Lewis A	SuLe(a); 3'-Sulfo Lea; 3'-Sulfo Le^a				1A	G78706CK; G36845IZ; G14395NH	GSD000006	GlycoMotif:GGM.000030; GlycoMotif:GDV.000047; GlycoMotif:CCRC.000030	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; BIOOLIGO	
GSD:8f470fe6-edc7-4605-a4ee-d22439fb8c44	3'-sulfo Lewis X	3'-sulfo-Le(x); 3'-sulfo Le^x; 3'-sulfo Lex; 3'-su-Lewis x; 3-Sulfo-Lewis x	3'-su-Le^x				1A	G12295TB; G26555CS; G51907PX	GSD000007	GlycoMotif:GGM.000029; GlycoMotif:GDV.000048; GlycoMotif:CCRC.000029	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
GSD:0db7db50-a956-474b-a648-fd6f10e81ebf	3'S-Di-LeA						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:8041b096-e548-4cdb-b4b9-6d3cceddc652	3'S-Di-Lec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:6adfff6e-740c-4402-bf99-c21fa2515600	3'S-Di-Lex						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
GSD:9be42e4a-c8f5-4d47-8644-338ca4b490f5	3'SL (Gc)						1A				PUBDICT_GLYCONAVI_NAME	
GSD:d7b7c6c6-1de9-426d-b3bb-cd21f1ec3cbf	3'SLeA-LeX						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
