term_uuid	lbl	class_code	class_name	tier	method	reason	gtc_ids	n_sources
GSD:864352e3-4959-5d32-b9e3-b0973c89c4a1	β3-linked glucose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:b115b40e-fdf0-573a-9549-0ec68f296584	1-4-linked α-L-guluronic acid	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:28b652e2-5923-5c29-96f1-988d8d23c5e6	1-4-linked β-D-mannuronic acid	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:165697ec-4d3c-5222-b659-a519d5f852b1	β6-linked galactose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:59ad35d6-72e6-5621-84da-36ff79658b40	β6-linked glucose	2A	Linkage-specified substructure	2	curator	Curator-assigned classification (ground truth)		1
GSD:3b67a794-e241-56bb-b993-661b1a47f3ef	2-6-branch of complex N-glycans	1B	Named recurrent structural feature	1	curator	Curator-assigned classification (ground truth)	G56868BH	2
GSD:10ae2b99-1d75-5290-a777-47b7b1fcaf32	2'-fucosyllactose	3B	Monosaccharide or named disaccharide	3	curator	Curator-assigned classification (ground truth)		1
GSD:5a262e8e-7861-5764-aa44-fdfb05a1e92b	3-O-sulfated galactose	3B	Monosaccharide or named disaccharide	3	curator	Curator-assigned classification (ground truth)		1
GSD:f0e62919-4120-5fd2-af20-33525dfb29a9	3-O-sulfated GlcNS6S	3B	Monosaccharide or named disaccharide	3	curator	Curator-assigned classification (ground truth)		1
GSD:5c444dc8-d458-53df-88a8-65344b643df1	chondroitin-4-sulfate	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G19059PI	5
GSD:5f243ab7-64a6-5a23-9ce1-529071201a5a	6-O-sulfated glucosamine	3B	Monosaccharide or named disaccharide	3	curator	Curator-assigned classification (ground truth)		1
GSD:6e033c8a-f202-509b-8b71-6eef358777b2	6'-sulfo-sialyl Lewis x	1A	Canonical named glycan entity	1	curator	Curator-assigned classification (ground truth)	G80722US; G00672PE; G77659VW; G23322RK	25
GSD:9447ca95-04fd-5700-9db0-2a3ee02c2a4a	9-O-acetylated sialic acid	3B	Monosaccharide or named disaccharide	3	curator	Curator-assigned classification (ground truth)		1
GSD:f054a590-0d24-5438-b871-64b001b53954	ABO blood group antigens	3A	Umbrella / glycoconjugate class	3	curator	Curator-assigned classification (ground truth)		1
