term_uuid	lbl	KEEP	gtc_ids	n_sources	n_distinct_src_lbls	distinct_src_lbls	exact_synonyms	definition	classification	sources	REVIEW_ACTION	SPLIT_INTO_LABELS	NOTES
GSD:1a7f2317-70ce-4ef7-a66e-608befdba9dd	(Man)2-GlcNAc	TRUE		1	1	(Man)2-GlcNAc			N-linked oligos	SRC:BIOOLIGO|(Man)2-GlcNAc			
GSD:0158ab4d-f82e-4732-9069-bc9aab92ea7a	(Man)3a	TRUE		2	2	(Man)3a; Man a1-3 (Man a1-6) Man			N-linked oligos	SRC:BIOOLIGO|(Man)3a; SRC:BIOOLIGO|Man a1-3 (Man a1-6) Man			
GSD:40930df1-fbff-4a12-86b8-e9bac17a9d1c	(Man)3b	TRUE		1	1	(Man)3b			N-linked oligos	SRC:BIOOLIGO|(Man)3b			
GSD:faf597d7-a27f-4e58-80e6-e2b21d06052d	(Man)4	TRUE		1	1	(Man)4			N-linked oligos	SRC:BIOOLIGO|(Man)4			
GSD:f5e0334e-63bf-49d8-8860-3d607d53d090	(Man)4-(Fuc)-GlcNAc	TRUE		1	1	(Man)4-(Fuc)-GlcNAc			N-linked oligos	SRC:BIOOLIGO|(Man)4-(Fuc)-GlcNAc			
GSD:f89f818f-e605-4c23-a45e-444eddd0eb1b	(Man)5-OMe	TRUE		1	1	(Man)5-OMe			N-linked oligos	SRC:BIOOLIGO|(Man)5-OMe			
GSD:b115b40e-fdf0-573a-9549-0ec68f296584	1-4-linked α-L-guluronic acid	TRUE		1	1	1-4-linked α-L-guluronic acid	1-4-linked α-L-GulpA		Polysaccharide Repeating Unit	SRC:EOG_VARKI_4E|1-4-linked α-L-guluronic acid			
GSD:28b652e2-5923-5c29-96f1-988d8d23c5e6	1-4-linked β-D-mannuronic acid	TRUE		1	1	1-4-linked β-D-mannuronic acid	1-4-linked β-D-ManpA		Polysaccharide Repeating Unit	SRC:EOG_VARKI_4E|1-4-linked β-D-mannuronic acid			
GSD:314e1876-984f-4765-9285-f799e4d8f5a3	2'FL	TRUE		2	1	2'FL				SRC:PUBDICT_GLYCONAVI_ABBREV|2'FL; SRC:PUBDICT_GLYCONAVI_NAME|2'FL			
GSD:e9b1ae37-8e37-4a2d-8ede-afb838162591	2,6-branched O-mannose	TRUE	G56868BH; G06953DR	5	2	2,6-Branched O-mannose; 2,6-branched O-mannose	2,6-branched O-mannosyl glycan	(2S,4S,5R,6R)-5-Acetamido-2-[(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-6-[[(2R,3S,4S,5S,6S)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3R,4S,5S,6R)-4-[(2S,4S,5R,6R)-5-acetamido-2-carboxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxan-2-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4,6-trihydroxyoxan-2-yl]methoxy]-4-hydroxy-2-(hydroxymethyl)o...	GlycoMotif GGM motif	SRC:CUMMINGS|2,6-Branched O-mannose; SRC:GLYCOMOTIF_GDV|2,6-Branched O-mannose; SRC:GLYCOMOTIF_GGM|2,6-Branched O-mannose; SRC:GSD_GLYGEN_V0|2,6-branched O-mannose; SRC:PUBDICT_GLYCAN_MOTIF|2,6-Branched O-mannose			
