lbl	term_uuid	gtc_id	exact_synonyms_glygen	exact_synonyms_other	related_synonyms	classification	sentence
β3-linked glucose	GSD:864352e3-4959-5d32-b9e3-b0973c89c4a1			1-3-linked β-Glc		Polysaccharide Repeating Unit	
1-4-linked α-L-guluronic acid	GSD:b115b40e-fdf0-573a-9549-0ec68f296584			1-4-linked α-L-GulpA		Polysaccharide Repeating Unit	
1-4-linked β-D-mannuronic acid	GSD:28b652e2-5923-5c29-96f1-988d8d23c5e6			1-4-linked β-D-ManpA		Polysaccharide Repeating Unit	
β6-linked galactose	GSD:165697ec-4d3c-5222-b659-a519d5f852b1			1-6-linked β-Galp		Polysaccharide Repeating Unit	
β6-linked glucose	GSD:59ad35d6-72e6-5621-84da-36ff79658b40			1-6-linked β-Glc		Polysaccharide Repeating Unit	
2-6-branch of complex N-glycans	GSD:3b67a794-e241-56bb-b993-661b1a47f3ef			2-6-branch		Named Functional Motif	
2′-fucosyllactose	GSD:10ae2b99-1d75-5290-a777-47b7b1fcaf32					Disaccharide	
3-O-sulfated galactose	GSD:5a262e8e-7861-5764-aa44-fdfb05a1e92b	G40843KY		3-O-sulfated Gal		Monosaccharide	
3-O-sulfated GlcNS6S	GSD:f0e62919-4120-5fd2-af20-33525dfb29a9					Polysaccharide Repeating Unit	
chondroitin-4-sulfate	GSD:5c444dc8-d458-53df-88a8-65344b643df1	G19059PI		4-sulfated chondroitin sulfate	chondroitin sulfate A	Polysaccharide	
6-O-sulfated glucosamine	GSD:5f243ab7-64a6-5a23-9ce1-529071201a5a					Polysaccharide Repeating Unit	
6-sulfo-sialyl Lewis x	GSD:1b3b03a6-b82a-52ea-a699-0da8aa1f3abc	G80722US	6-sulfo SLe^x|6-sulfo SLex			Named Functional Motif	
6′-sulfo-sialyl Lewis x	GSD:6e033c8a-f202-509b-8b71-6eef358777b2	G00672PE	6'-Sulfo-sialyl Lewis x|6'-sulfated sialyl Lewis x-|6'-sulfo-sLe(x)|Su-SaiLex|Su-Slex	6′-sulfo-SLex|Sialyl-6′-sulfo-Lewis x|sialyl-6′-sulfo-Lex		Named Functional Motif	
9-O-acetylated sialic acid	GSD:9447ca95-04fd-5700-9db0-2a3ee02c2a4a	G47325QT		9-O-Ac-Sia|9-O-acetylated Sia|9-O-acetylated-SA		Monosaccharide	
ABO blood group antigens	GSD:f054a590-0d24-5438-b871-64b001b53954			ABO glycans|ABO(H) blood group glycans		Named Functional Motif	
alkylacylphosphatidylinositol-anchored glycan	GSD:667030ec-2d62-5573-9fa1-f4482afc0782					Others	
amylopectin	GSD:62c19a81-2859-5cac-8aae-c9a9d6da5eb4					Polysaccharide	
apiogalacturonan	GSD:d742c56c-350f-5f5e-bf18-d4ed7d085155					Polysaccharide	
arabinoglucuronoxylan	GSD:687c2e68-ec7d-54ca-a4ee-2996b7df7ebb					Polysaccharide	
arthroseries glycosphingolipids	GSD:44424bf0-a3e2-524d-9b57-0879a7c56c2b			arthro-series|arthroseries|arthroseries glycolipids		Glycolipid	
a-series gangliosides	GSD:70869a6d-1921-5736-8f3a-af3e124c381a					Glycolipid	
