term,avg_similarity,count,max_similarity
terminal mannose residues,0.991582,1,0.991582
furanoses,0.990346,2,0.990451
fucoidans,0.987624,3,0.991381
a-series gangliosides,0.985598,1,0.985598
high-mannose-type glycans,0.983700,3,0.990825
d sugar,0.978314,1,0.978314
xylogalacturonans,0.976570,1,0.976570
cyclic glucans,0.976298,2,0.980754
apiogalacturonans,0.975106,2,0.977752
nucleotide-activated monosaccharides,0.974601,1,0.974601
g0 n-glycans,0.974360,1,0.974360
galactans,0.973884,1,0.973884
galnac-type o-glycans,0.972984,1,0.972984
decasaccharides,0.972975,2,0.976922
core m1 glycans,0.972875,2,0.975934
hemicelluloses,0.972661,5,0.997178
complex type,0.969814,1,0.969814
dolichol-linked oligosaccharides,0.969384,1,0.969384
flavonoid glycosides,0.969098,2,0.969822
variable galactopyranose repeats,0.966789,1,0.966789
surface glycoconjugates,0.965930,3,0.971597
pyranoses,0.965845,1,0.965845
myeloglycans,0.964770,1,0.964770
hexasaccharides,0.962978,2,0.967378
sia-containing glycans,0.961339,1,0.961339
hexosamines,0.960211,1,0.960211
pseudaminic acids,0.958314,1,0.958314
c20:3,0.957689,1,0.957689
core m2,0.956461,1,0.956461
oligomannosyl structures,0.956114,1,0.956114
mannose-terminated n-glycans,0.955739,1,0.955739
glycosides,0.955438,6,0.979890
α-mannans,0.954996,1,0.954996
α-mannose-containing glycans,0.954319,1,0.954319
chondroitin sulfate proteoglycans,0.952554,1,0.952554
lewis type glycans,0.952212,1,0.952212
core m2 glycans,0.951481,1,0.951481
aggrecan superfamily,0.949666,1,0.949666
b-series gangliosides,0.948511,2,0.972494
o-glycopeptides,0.948502,4,0.987456
o-mannose-based chains,0.948485,1,0.948485
core m1,0.948385,3,0.963868
hexopyranoses,0.947637,1,0.947637
hexuloses,0.946098,1,0.946098
complex-type,0.944569,1,0.944569
β-d-glucose,0.944417,1,0.944417
biantennary complex-type n-glycans,0.944051,1,0.944051
core 2 o-glycans,0.943505,1,0.943505
hemicellulosic polysaccharides,0.942954,1,0.942954
oligomannose-type glycans,0.942285,2,0.986713
β-d-glucopyranose,0.940144,1,0.940144
man-6-p-containing glycans,0.939429,2,0.987851
galβ1-4glc,0.939185,1,0.939185
oligosaccharins,0.935771,1,0.935771
hybrid type,0.935026,1,0.935026
c20:4,0.933977,1,0.933977
terminal monosaccharides,0.930171,1,0.930171
n-glycopeptides,0.930152,3,0.987881
n-glycan-type,0.930051,1,0.930051
neutral and ionic polysaccharides,0.929984,1,0.929984
glcaβ1-3glcnacβ1-4,0.929440,1,0.929440
glcα1–4glc repeating disaccharides,0.928799,1,0.928799
rhamnogalacturonans,0.928390,2,0.934529
neu5acα2–6gal-containing oligosaccharides,0.928053,1,0.928053
yeast n-glycans,0.927789,1,0.927789
linear and branched structures,0.927165,1,0.927165
phosphate esters,0.926574,1,0.926574
flexible oligosaccharide ligands,0.925094,1,0.925094
linear and branched oligosaccharides,0.923709,1,0.923709
m6p-containing n-glycans,0.922416,5,0.962414
acyl esters,0.921362,2,0.925067
lipochitooligosaccharides,0.920907,1,0.920907
